Name,BENJAMIN MEYER,,,,,,
Address,XXXXXXXXXXX,,,,,,
Account Number,XXXXXXXXXXX,,,,,,
Disclaimer,The information contained in this file is intended for the personal and confidential use of the recipient(s) named above.  Any unauthorized use is prohibited.,,,,,,
Title,Advanced Metering Data,,,,,,
Commodity,Electric,,,,,,
Meter Number,72621898,,,,,,
Start Date,03/30/2024,,,,,,
End Date,03/30/2025,,,,,,
,,,,,,,
Start Interval Date/Time,Meter Id,Usage,Units,Interval,Usage,Units,Interval
03/30/2024 00:00,72621898,2.1,kwh,60min,0.56,kwh,15min
03/30/2024 00:15,72621898,-,-,-,0.51,kwh,15min
03/30/2024 00:30,72621898,-,-,-,0.52,kwh,15min
03/30/2024 00:45,72621898,-,-,-,0.51,kwh,15min
03/30/2024 01:00,72621898,1.85,kwh,60min,0.51,kwh,15min
03/30/2024 01:15,72621898,-,-,-,0.43,kwh,15min
03/30/2024 01:30,72621898,-,-,-,0.44,kwh,15min
03/30/2024 01:45,72621898,-,-,-,0.47,kwh,15min
03/30/2024 02:00,72621898,1.87,kwh,60min,0.48,kwh,15min
03/30/2024 02:15,72621898,-,-,-,0.45,kwh,15min
03/30/2024 02:30,72621898,-,-,-,0.45,kwh,15min
03/30/2024 02:45,72621898,-,-,-,0.49,kwh,15min
03/30/2024 03:00,72621898,1.81,kwh,60min,0.48,kwh,15min
03/30/2024 03:15,72621898,-,-,-,0.37,kwh,15min
03/30/2024 03:30,72621898,-,-,-,0.5,kwh,15min
03/30/2024 03:45,72621898,-,-,-,0.46,kwh,15min
03/30/2024 04:00,72621898,1.86,kwh,60min,0.48,kwh,15min
03/30/2024 04:15,72621898,-,-,-,0.45,kwh,15min
03/30/2024 04:30,72621898,-,-,-,0.51,kwh,15min
03/30/2024 04:45,72621898,-,-,-,0.42,kwh,15min
03/30/2024 05:00,72621898,1.97,kwh,60min,0.43,kwh,15min
03/30/2024 05:15,72621898,-,-,-,0.58,kwh,15min
03/30/2024 05:30,72621898,-,-,-,0.43,kwh,15min
03/30/2024 05:45,72621898,-,-,-,0.53,kwh,15min
03/30/2024 06:00,72621898,1.85,kwh,60min,0.39,kwh,15min
03/30/2024 06:15,72621898,-,-,-,0.49,kwh,15min
03/30/2024 06:30,72621898,-,-,-,0.51,kwh,15min
03/30/2024 06:45,72621898,-,-,-,0.46,kwh,15min
03/30/2024 07:00,72621898,2.3,kwh,60min,0.47,kwh,15min
03/30/2024 07:15,72621898,-,-,-,0.77,kwh,15min
03/30/2024 07:30,72621898,-,-,-,0.6,kwh,15min
03/30/2024 07:45,72621898,-,-,-,0.46,kwh,15min
03/30/2024 08:00,72621898,1.75,kwh,60min,0.39,kwh,15min
03/30/2024 08:15,72621898,-,-,-,0.47,kwh,15min
03/30/2024 08:30,72621898,-,-,-,0.39,kwh,15min
03/30/2024 08:45,72621898,-,-,-,0.5,kwh,15min
03/30/2024 09:00,72621898,2.04,kwh,60min,0.8,kwh,15min
03/30/2024 09:15,72621898,-,-,-,0.41,kwh,15min
03/30/2024 09:30,72621898,-,-,-,0.43,kwh,15min
03/30/2024 09:45,72621898,-,-,-,0.4,kwh,15min
03/30/2024 10:00,72621898,1.69,kwh,60min,0.42,kwh,15min
03/30/2024 10:15,72621898,-,-,-,0.37,kwh,15min
03/30/2024 10:30,72621898,-,-,-,0.5,kwh,15min
03/30/2024 10:45,72621898,-,-,-,0.4,kwh,15min
03/30/2024 11:00,72621898,1.81,kwh,60min,0.5,kwh,15min
03/30/2024 11:15,72621898,-,-,-,0.41,kwh,15min
03/30/2024 11:30,72621898,-,-,-,0.48,kwh,15min
03/30/2024 11:45,72621898,-,-,-,0.42,kwh,15min
03/30/2024 12:00,72621898,1.94,kwh,60min,0.5,kwh,15min
03/30/2024 12:15,72621898,-,-,-,0.43,kwh,15min
