Hour Start,Electricity 1 (Dutch Users: Low Tariff),Electricity 2 (Dutch Users: Normal Tariff),Electricity 1 Returned (Dutch Users: Low Tariff),Electricity 2 Returned (Dutch Users: Normal Tariff),Gas
2024-01-01T00:00:00+01:00,0.196,0,0,0,0.032
2024-01-01T01:00:00+01:00,0.224,0,0,0,0.056
2024-01-01T02:00:00+01:00,0.189,0,0,0,0.026
2024-01-01T03:00:00+01:00,0.162,0,0,0,0.029
2024-01-01T04:00:00+01:00,0.207,0,0,0,0.01
2024-01-01T05:00:00+01:00,0.22,0,0,0,0.059
2024-01-01T06:00:00+01:00,0.253,0,0,0,0.05
2024-01-01T07:00:00+01:00,0.243,0,0,0,0.074
2024-01-01T08:00:00+01:00,0.257,0,0,0,0.471
2024-01-01T09:00:00+01:00,0.301,0,0,0,0.927
2024-01-01T10:00:00+01:00,0.245,0,0.012,0,0.538
2024-01-01T11:00:00+01:00,0.052,0,0.189,0,0.373
2024-01-01T12:00:00+01:00,0.011,0,0.312,0,0.407
2024-01-01T13:00:00+01:00,0.016,0,0.441,0,0.389
2024-01-01T14:00:00+01:00,0.01,0,0.32,0,0.267
2024-01-01T15:00:00+01:00,0.203,0,0.005,0,1.138
2024-01-01T16:00:00+01:00,0.854,0,0,0,0.057
2024-01-01T17:00:00+01:00,0.575,0,0,0,0.058
2024-01-01T18:00:00+01:00,0.405,0,0,0,0.051
2024-01-01T19:00:00+01:00,0.609,0,0,0,0.034
2024-01-01T20:00:00+01:00,0.426,0,0,0,0.042
2024-01-01T21:00:00+01:00,0.356,0,0,0,0.053
2024-01-01T22:00:00+01:00,0.273,0,0,0,0.014
2024-01-01T23:00:00+01:00,0.198,0,0,0,0.032
2024-01-02T00:00:00+01:00,0.188,0,0,0,0.049
2024-01-02T01:00:00+01:00,0.174,0,0,0,0.05
2024-01-02T02:00:00+01:00,0.173,0,0,0,0.017
2024-01-02T03:00:00+01:00,0.164,0,0,0,0.055
2024-01-02T04:00:00+01:00,0.25,0,0,0,0.033
2024-01-02T05:00:00+01:00,0.202,0,0,0,0.056
2024-01-02T06:00:00+01:00,0.21,0,0,0,0.05
2024-01-02T07:00:00+01:00,0.001,0.281,0,0,0.077
2024-01-02T08:00:00+01:00,0,0.325,0,0,0.528
2024-01-02T09:00:00+01:00,0,0.753,0,0,0.395
2024-01-02T10:00:00+01:00,0,0.11,0,0.006,0.499
2024-01-02T11:00:00+01:00,0,0.048,0,0.133,0.598
2024-01-02T12:00:00+01:00,0,0.178,0,0.014,0.289
2024-01-02T13:00:00+01:00,0,0.281,0,0,0.29
2024-01-02T14:00:00+01:00,0,0.287,0,0,0.027
2024-01-02T15:00:00+01:00,0,0.374,0,0,0.059
2024-01-02T16:00:00+01:00,0,0.333,0,0,0.029
2024-01-02T17:00:00+01:00,0,0.455,0,0,0.121
2024-01-02T18:00:00+01:00,0,0.87,0,0,0.04
2024-01-02T19:00:00+01:00,0,1.241,0,0,0
2024-01-02T20:00:00+01:00,0,0.497,0,0,0.062
2024-01-02T21:00:00+01:00,0,0.395,0,0,0.257
2024-01-02T22:00:00+01:00,0,0.23,0,0,0.039
2024-01-02T23:00:00+01:00,0.172,0.001,0,0,0.029
2024-01-03T00:00:00+01:00,0.179,0,0,0,0.039
2024-01-03T01:00:00+01:00,0.162,0,0,0,0.029
2024-01-03T02:00:00+01:00,0.161,0,0,0,0.042
2024-01-03T03:00:00+01:00,0.154,0,0,0,0.032
2024-01-03T04:00:00+01:00,0.174,0,0,0,0.048
2024-01-03T05:00:00+01:00,0.157,0,0,0,0.005
2024-01-03T06:00:00+01:00,0.296,0,0,0,0.065
2024-01-03T07:00:00+01:00,0.002,0.301,0,0,0.068
2024-01-03T08:00:00+01:00,0,0.481,0,0,0.727
2024-01-03T09:00:00+01:00,0,0.321,0,0,1.084
2024-01-03T10:00:00+01:00,0,0.113,0,0.001,0.54
2024-01-03T11:00:00+01:00,0,0.056,0,0.087,0.274
2024-01-03T12:00:00+01:00,0,0.034,0,0.228,0.413
2024-01-03T13:00:00+01:00,0,0.054,0,0.11,0.244
2024-01-03T14:00:00+01:00,0,0.053,0,0.269,0.199
2024-01-03T15:00:00+01:00,0,0.183,0,0.001,0.288
2024-01-03T16:00:00+01:00,0,0.293,0,0,0
2024-01-03T17:00:00+01:00,0,0.678,0,0,0.111
2024-01-03T18:00:00+01:00,0,0.616,0,0,0.576
2024-01-03T19:00:00+01:00,0,0.516,0,0,0.427
2024-01-03T20:00:00+01:00,0,0.333,0,0,0.029
2024-01-03T21:00:00+01:00,0,0.5,0,0,0.365
2024-01-03T22:00:00+01:00,0,0.35,0,0,0.052
2024-01-03T23:00:00+01:00,0.184,0.001,0,0,0
2024-01-04T00:00:00+01:00,0.182,0,0,0,0.056
2024-01-04T01:00:00+01:00,0.148,0,0,0,0
2024-01-04T02:00:00+01:00,0.184,0,0,0,0.066
2024-01-04T03:00:00+01:00,0.153,0,0,0,0
2024-01-04T04:00:00+01:00,0.167,0,0,0,0.051
2024-01-04T05:00:00+01:00,0.161,0,0,0,0.03
2024-01-04T06:00:00+01:00,0.197,0,0,0,0.029
2024-01-04T07:00:00+01:00,0,0.428,0,0,0.087
2024-01-04T08:00:00+01:00,0,0.453,0,0,0.243
2024-01-04T09:00:00+01:00,0,0.429,0,0,1.075
2024-01-04T10:00:00+01:00,0,0.776,0,0,0.813
2024-01-04T11:00:00+01:00,0,0.457,0,0.046,0.914
2024-01-04T12:00:00+01:00,0,2.108,0,0.009,0.149
2024-01-04T13:00:00+01:00,0,0.134,0,0.121,0.499
2024-01-04T14:00:00+01:00,0,0.182,0,0.025,0.348
2024-01-04T15:00:00+01:00,0,0.262,0,0.016,0.417
2024-01-04T16:00:00+01:00,0,0.523,0,0,0.316
2024-01-04T17:00:00+01:00,0,0.895,0,0,0.405
2024-01-04T18:00:00+01:00,0,1.61,0,0,0.244
2024-01-04T19:00:00+01:00,0,3.124,0,0,0
2024-01-04T20:00:00+01:00,0,0.448,0,0,0.014
2024-01-04T21:00:00+01:00,0,0.422,0,0,0.032
2024-01-04T22:00:00+01:00,0,0.312,0,0,0.03
2024-01-04T23:00:00+01:00,0.213,0.002,0,0,0.014
2024-01-05T00:00:00+01:00,0.186,0,0,0,0.037
2024-01-05T01:00:00+01:00,0.157,0,0,0,0.014
2024-01-05T02:00:00+01:00,0.186,0,0,0,0.054
2024-01-05T03:00:00+01:00,0.161,0,0,0,0.012
2024-01-05T04:00:00+01:00,0.251,0,0,0,0.03
2024-01-05T05:00:00+01:00,0.201,0,0,0,0.043
2024-01-05T06:00:00+01:00,0.197,0,0,0,0.029
2024-01-05T07:00:00+01:00,0.001,0.242,0,0,0.29
2024-01-05T08:00:00+01:00,0,0.617,0,0,0.864
2024-01-05T09:00:00+01:00,0,0.447,0,0,0.153
2024-01-05T10:00:00+01:00,0,0.24,0,0,0.362
2024-01-05T11:00:00+01:00,0,0.082,0,0.037,0.109
2024-01-05T12:00:00+01:00,0,0.174,0,0,0.696
2024-01-05T13:00:00+01:00,0,0.09,0,0.035,0.149
2024-01-05T14:00:00+01:00,0,0.182,0,0.019,0.485
2024-01-05T15:00:00+01:00,0,0.361,0,0,0.082
2024-01-05T16:00:00+01:00,0,0.467,0,0,0.109
2024-01-05T17:00:00+01:00,0,0.632,0,0,0.18
2024-01-05T18:00:00+01:00,0,0.454,0,0,0.285
2024-01-05T19:00:00+01:00,0,0.769,0,0,0.148
2024-01-05T20:00:00+01:00,0,0.62,0,0,0
2024-01-05T21:00:00+01:00,0,0.492,0,0,0.075
