Vanaf;Tot;Verbruik laag tarief;Verbruik hoog tarief;Teruglevering laag tarief;Teruglevering hoog tarief;Totaal;
2014-01-01 00:00;2014-01-02 00:00;8,35400;0,00000;-0,73200;0,00000;7,62200;
2014-01-02 00:00;2014-01-03 00:00;5,24000;11,84600;0,00000;-0,26800;16,81800;
2014-01-03 00:00;2014-01-04 00:00;4,63500;6,38900;0,00000;-0,27600;10,74800;
2014-01-04 00:00;2014-01-05 00:00;20,95400;0,00000;0,00000;0,00000;20,95400;
2014-01-05 00:00;2014-01-06 00:00;14,87000;0,00000;-0,88500;0,00000;13,98500;
2014-01-06 00:00;2014-01-07 00:00;5,12000;4,92500;0,00000;-0,25600;9,78900;
2014-01-07 00:00;2014-01-08 00:00;6,16500;6,42200;0,00000;-1,38900;11,19800;
2014-01-08 00:00;2014-01-09 00:00;5,54900;7,49300;0,00000;-1,06300;11,97900;
2014-01-09 00:00;2014-01-10 00:00;4,55500;4,26700;0,00000;-0,00100;8,82100;
2014-01-10 00:00;2014-01-11 00:00;6,41800;11,45000;0,00000;-2,35000;15,51800;
2014-01-11 00:00;2014-01-12 00:00;11,87100;0,00000;-0,02300;0,00000;11,84800;
2014-01-12 00:00;2014-01-13 00:00;14,09500;0,00000;-1,37500;0,00000;12,72000;
2014-01-13 00:00;2014-01-14 00:00;5,05800;6,35300;0,00000;-1,19000;10,22100;
2014-01-14 00:00;2014-01-15 00:00;5,71900;5,84600;0,00000;-0,22900;11,33600;
2014-01-15 00:00;2014-01-16 00:00;8,26100;13,74400;0,00000;0,00000;22,00500;
2014-01-16 00:00;2014-01-17 00:00;5,15500;4,50700;0,00000;0,00000;9,66200;
2014-01-17 00:00;2014-01-18 00:00;4,29700;10,42200;0,00000;-0,08900;14,63000;
2014-01-18 00:00;2014-01-19 00:00;15,10200;0,00000;-0,89900;0,00000;14,20300;
2014-01-19 00:00;2014-01-20 00:00;8,68700;0,00000;-0,48300;0,00000;8,20400;
2014-01-20 00:00;2014-01-21 00:00;5,35500;8,54900;0,00000;0,00000;13,90400;
2014-01-21 00:00;2014-01-22 00:00;6,20400;10,18800;0,00000;0,00000;16,39200;
2014-01-22 00:00;2014-01-23 00:00;6,27200;9,04300;0,00000;-0,65400;14,66100;
2014-01-23 00:00;2014-01-24 00:00;6,43400;5,86400;0,00000;0,00000;12,29800;
2014-01-24 00:00;2014-01-25 00:00;5,84500;13,11000;0,00000;-0,86500;18,09000;
2014-01-25 00:00;2014-01-26 00:00;14,77400;0,00000;-0,24900;0,00000;14,52500;
2014-01-26 00:00;2014-01-27 00:00;14,61700;0,00000;-0,00300;0,00000;14,61400;
2014-01-27 00:00;2014-01-28 00:00;5,89900;6,60800;0,00000;-0,32400;12,18300;
2014-01-28 00:00;2014-01-29 00:00;5,02200;6,97500;0,00000;-3,36900;8,62800;
2014-01-29 00:00;2014-01-30 00:00;5,25121;16,28200;0,00000;-0,73600;20,79721;
2014-01-30 00:00;2014-01-31 00:00;4,06879;3,46200;0,00000;-1,98300;5,54779;
2014-01-31 00:00;2014-02-01 00:00;5,21400;4,78700;0,00000;-3,02900;6,97200;
2014-02-01 00:00;2014-02-02 00:00;25,66200;0,00000;0,00000;0,00000;25,66200;
2014-02-02 00:00;2014-02-03 00:00;15,55800;0,00000;-0,88400;0,00000;14,67400;
2014-02-03 00:00;2014-02-04 00:00;5,53500;5,70700;0,00000;-3,80200;7,44000;
2014-02-04 00:00;2014-02-05 00:00;4,85700;8,92900;0,00000;-2,00200;11,78400;
2014-02-05 00:00;2014-02-06 00:00;4,36600;10,62600;0,00000;-0,51700;14,47500;
2014-02-06 00:00;2014-02-07 00:00;4,57500;4,01800;0,00000;-1,27900;7,31400;
2014-02-07 00:00;2014-02-08 00:00;5,49400;10,33800;0,00000;0,00000;15,83200;
2014-02-08 00:00;2014-02-09 00:00;11,36500;0,00000;0,00000;0,00000;11,36500;
2014-02-09 00:00;2014-02-10 00:00;8,47000;0,00000;-0,08900;0,00000;8,38100;
2014-02-10 00:00;2014-02-11 00:00;5,61800;8,61000;0,00000;-0,27300;13,95500;
2014-02-11 00:00;2014-02-12 00:00;4,31800;9,64000;0,00000;-2,66800;11,29000;
2014-02-12 00:00;2014-02-13 00:00;6,32800;5,96700;0,00000;-3,72500;8,57000;
2014-02-13 00:00;2014-02-14 00:00;7,43000;5,43200;0,00000;-0,00500;12,85700;
2014-02-14 00:00;2014-02-15 00:00;5,37800;3,66600;0,00000;-1,10300;7,94100;
2014-02-15 00:00;2014-02-16 00:00;11,46400;0,00000;-0,68200;0,00000;10,78200;
2014-02-16 00:00;2014-02-17 00:00;15,34300;0,00000;-2,46000;0,00000;12,88300;
2014-02-17 00:00;2014-02-18 00:00;4,99900;5,71700;0,00000;-1,45000;9,26600;
2014-02-18 00:00;2014-02-19 00:00;4,96700;10,05500;0,00000;0,00000;15,02200;
2014-02-19 00:00;2014-02-20 00:00;4,49500;9,97200;0,00000;-0,70400;13,76300;
2014-02-20 00:00;2014-02-21 00:00;4,46200;7,32400;0,00000;-0,01000;11,77600;
2014-02-21 00:00;2014-02-22 00:00;4,79900;6,82400;0,00000;-1,14200;10,48100;
2014-02-22 00:00;2014-02-23 00:00;8,19500;0,00000;-1,11400;0,00000;7,08100;
2014-02-23 00:00;2014-02-24 00:00;7,10200;0,00000;-3,38400;0,00000;3,71800;
2014-02-24 00:00;2014-02-25 00:00;8,06900;5,17300;0,00000;-4,77900;8,46300;
2014-02-25 00:00;2014-02-26 00:00;4,73900;5,10000;0,00000;-1,23700;8,60200;
2014-02-26 00:00;2014-02-27 00:00;5,87600;11,29700;0,00000;-2,68800;14,48500;
2014-02-27 00:00;2014-02-28 00:00;8,72700;4,12800;0,00000;-0,46900;12,38600;
2014-02-28 00:00;2014-03-01 00:00;5,09000;2,18300;0,00000;-2,84000;4,43300;
2014-03-01 00:00;2014-03-02 00:00;6,06200;0,00000;-0,56300;0,00000;5,49900;
2014-03-02 00:00;2014-03-03 00:00;11,70200;0,00000;-4,26000;0,00000;7,44200;
2014-03-03 00:00;2014-03-04 00:00;4,11100;3,40100;0,00000;-1,32300;6,18900;
2014-03-04 00:00;2014-03-05 00:00;6,49200;7,02700;0,00000;-3,80100;9,71800;
2014-03-05 00:00;2014-03-06 00:00;6,61900;5,20600;0,00000;-3,53600;8,28900;
2014-03-06 00:00;2014-03-07 00:00;4,24300;2,17600;0,00000;-6,18600;0,23300;
2014-03-07 00:00;2014-03-08 00:00;4,79700;7,80000;0,00000;-1,97300;10,62400;
2014-03-08 00:00;2014-03-09 00:00;5,62800;0,00000;-6,33000;0,00000;-0,70200;
2014-03-09 00:00;2014-03-10 00:00;7,55500;0,00000;-6,66900;0,00000;0,88600;
2014-03-10 00:00;2014-03-11 00:00;3,64400;6,05900;0,00000;-6,50900;3,19400;
2014-03-11 00:00;2014-03-12 00:00;4,90300;2,47500;0,00000;-6,25800;1,12000;
2014-03-12 00:00;2014-03-13 00:00;4,27300;8,45900;0,00000;-4,53000;8,20200;
2014-03-13 00:00;2014-03-14 00:00;4,32400;2,23600;0,00000;-6,80500;-0,24500;
2014-03-14 00:00;2014-03-15 00:00;6,05200;8,64900;0,00000;-5,79900;8,90200;
2014-03-15 00:00;2014-03-16 00:00;10,55400;0,00000;-3,14600;0,00000;7,40800;
2014-03-16 00:00;2014-03-17 00:00;8,42500;0,00000;-0,21100;0,00000;8,21400;
2014-03-17 00:00;2014-03-18 00:00;4,87900;5,53500;0,00000;-1,00200;9,41200;
2014-03-18 00:00;2014-03-19 00:00;4,64800;8,83000;0,00000;-0,03000;13,44800;
2014-03-19 00:00;2014-03-20 00:00;5,95100;4,33700;0,00000;-6,30900;3,97900;
2014-03-20 00:00;2014-03-21 00:00;5,19100;2,10200;0,00000;-8,53600;-1,24300;
2014-03-21 00:00;2014-03-22 00:00;5,38700;10,61700;0,00000;-0,56200;15,44200;
2014-03-22 00:00;2014-03-23 00:00;12,47900;0,00000;-1,32900;0,00000;11,15000;
2014-03-23 00:00;2014-03-24 00:00;10,01100;0,00000;-2,16500;0,00000;7,84600;
2014-03-24 00:00;2014-03-25 00:00;4,89000;5,74200;0,00000;-4,80100;5,83100;
2014-03-25 00:00;2014-03-26 00:00;5,28100;7,75600;0,00000;-6,88300;6,15400;
2014-03-26 00:00;2014-03-27 00:00;5,09500;7,27000;0,00000;-6,93200;5,43300;
2014-03-27 00:00;2014-03-28 00:00;4,14800;2,74900;0,00000;-7,75400;-0,85700;
2014-03-28 00:00;2014-03-29 00:00;5,62300;6,09000;0,00000;-8,14800;3,56500;
2014-03-29 00:00;2014-03-30 00:00;15,15400;0,00000;-6,81200;0,00000;8,34200;
2014-03-30 00:00;2014-03-31 00:00;4,67400;0,00000;-4,75400;0,00000;-0,08000;
2014-03-31 00:00;2014-04-01 00:00;4,75000;3,80200;0,00000;-5,52400;3,02800;
2014-04-01 00:00;2014-04-02 00:00;6,80200;1,60500;0,00000;-7,42400;0,98300;
2014-04-02 00:00;2014-04-03 00:00;3,25900;3,44100;0,00000;-5,81800;0,88200;
2014-04-03 00:00;2014-04-04 00:00;4,47000;6,32800;0,00000;-6,66700;4,13100;
2014-04-04 00:00;2014-04-05 00:00;3,50300;3,70500;0,00000;-0,09700;7,11100;
2014-04-05 00:00;2014-04-06 00:00;12,41500;0,00000;-6,08900;0,00000;6,32600;
2014-04-06 00:00;2014-04-07 00:00;8,26800;0,00000;-2,52600;0,00000;5,74200;
2014-04-07 00:00;2014-04-08 00:00;2,90900;7,28700;0,00000;-5,30000;4,89600;
2014-04-08 00:00;2014-04-09 00:00;3,61800;4,49300;0,00000;-5,19200;2,91900;
2014-04-09 00:00;2014-04-10 00:00;7,54500;4,10900;0,00000;-6,43200;5,22200;
2014-04-10 00:00;2014-04-11 00:00;7,74400;5,08800;0,00000;-4,87000;7,96200;
