
name;ean;code;moment;moment-date;value;factor;type
Binnenhof18;871717720000051862;ellm;1735686000;2025-01-01 00:00:00;35089902;0.001;0
Binnenhof18;871717720000051862;ellm;1735686900;2025-01-01 00:15:00;35089984;0.001;0
Binnenhof18;871717720000051862;ellm;1735687800;2025-01-01 00:30:00;35090217;0.001;0
Binnenhof18;871717720000051862;ellm;1735688700;2025-01-01 00:45:00;35090576;0.001;0
Binnenhof18;871717720000051862;ellm;1735689600;2025-01-01 01:00:00;35090947;0.001;0
Binnenhof18;871717720000051862;ellm;1735690500;2025-01-01 01:15:00;35091329;0.001;0
Binnenhof18;871717720000051862;ellm;1735691400;2025-01-01 01:30:00;35091978;0.001;0
Binnenhof18;871717720000051862;ellm;1735692300;2025-01-01 01:45:00;35092365;0.001;0
Binnenhof18;871717720000051862;ellm;1735693200;2025-01-01 02:00:00;35092739;0.001;0
Binnenhof18;871717720000051862;ellm;1735694100;2025-01-01 02:15:00;35093056;0.001;0
Binnenhof18;871717720000051862;ellm;1735695000;2025-01-01 02:30:00;35093376;0.001;0
Binnenhof18;871717720000051862;ellm;1735695900;2025-01-01 02:45:00;35093694;0.001;0
Binnenhof18;871717720000051862;ellm;1735696800;2025-01-01 03:00:00;35094016;0.001;0
Binnenhof18;871717720000051862;ellm;1735697700;2025-01-01 03:15:00;35094684;0.001;0
Binnenhof18;871717720000051862;ellm;1735698600;2025-01-01 03:30:00;35095053;0.001;0
Binnenhof18;871717720000051862;ellm;1735699500;2025-01-01 03:45:00;35095362;0.001;0
Binnenhof18;871717720000051862;ellm;1735700400;2025-01-01 04:00:00;35095672;0.001;0
Binnenhof18;871717720000051862;ellm;1735701300;2025-01-01 04:15:00;35095989;0.001;0
Binnenhof18;871717720000051862;ellm;1735702200;2025-01-01 04:30:00;35096293;0.001;0
Binnenhof18;871717720000051862;ellm;1735703100;2025-01-01 04:45:00;35096613;0.001;0
Binnenhof18;871717720000051862;ellm;1735704000;2025-01-01 05:00:00;35096922;0.001;0
Binnenhof18;871717720000051862;ellm;1735704900;2025-01-01 05:15:00;35097236;0.001;0
Binnenhof18;871717720000051862;ellm;1735705800;2025-01-01 05:30:00;35097351;0.001;0
Binnenhof18;871717720000051862;ellm;1735706700;2025-01-01 05:45:00;35097406;0.001;0
Binnenhof18;871717720000051862;ellm;1735707600;2025-01-01 06:00:00;35097731;0.001;0
Binnenhof18;871717720000051862;ellm;1735708500;2025-01-01 06:15:00;35098140;0.001;0
Binnenhof18;871717720000051862;ellm;1735709400;2025-01-01 06:30:00;35098571;0.001;0
Binnenhof18;871717720000051862;ellm;1735710300;2025-01-01 06:45:00;35099025;0.001;0
Binnenhof18;871717720000051862;ellm;1735711200;2025-01-01 07:00:00;35099216;0.001;0
Binnenhof18;871717720000051862;ellm;1735712100;2025-01-01 07:15:00;35099279;0.001;0
Binnenhof18;871717720000051862;ellm;1735713000;2025-01-01 07:30:00;35099337;0.001;0
Binnenhof18;871717720000051862;ellm;1735713900;2025-01-01 07:45:00;35099392;0.001;0
Binnenhof18;871717720000051862;ellm;1735714800;2025-01-01 08:00:00;35099641;0.001;0
Binnenhof18;871717720000051862;ellm;1735715700;2025-01-01 08:15:00;35099961;0.001;0
Binnenhof18;871717720000051862;ellm;1735716600;2025-01-01 08:30:00;35100301;0.001;0
Binnenhof18;871717720000051862;ellm;1735717500;2025-01-01 08:45:00;35100638;0.001;0
Binnenhof18;871717720000051862;ellm;1735718400;2025-01-01 09:00:00;35100763;0.001;0
Binnenhof18;871717720000051862;ellm;1735719300;2025-01-01 09:15:00;35100825;0.001;0
Binnenhof18;871717720000051862;ellm;1735720200;2025-01-01 09:30:00;35100878;0.001;0
Binnenhof18;871717720000051862;ellm;1735721100;2025-01-01 09:45:00;35100941;0.001;0
Binnenhof18;871717720000051862;ellm;1735722000;2025-01-01 10:00:00;35101008;0.001;0
Binnenhof18;871717720000051862;ellm;1735722900;2025-01-01 10:15:00;35101565;0.001;0
Binnenhof18;871717720000051862;ellm;1735723800;2025-01-01 10:30:00;35101915;0.001;0
Binnenhof18;871717720000051862;ellm;1735724700;2025-01-01 10:45:00;35102263;0.001;0
Binnenhof18;871717720000051862;ellm;1735725600;2025-01-01 11:00:00;35102620;0.001;0
Binnenhof18;871717720000051862;ellm;1735726500;2025-01-01 11:15:00;35102979;0.001;0
Binnenhof18;871717720000051862;ellm;1735727400;2025-01-01 11:30:00;35103380;0.001;0
Binnenhof18;871717720000051862;ellm;1735728300;2025-01-01 11:45:00;35103800;0.001;0
Binnenhof18;871717720000051862;ellm;1735729200;2025-01-01 12:00:00;35104227;0.001;0
Binnenhof18;871717720000051862;ellm;1735730100;2025-01-01 12:15:00;35105147;0.001;0
Binnenhof18;871717720000051862;ellm;1735731000;2025-01-01 12:30:00;35105479;0.001;0
Binnenhof18;871717720000051862;ellm;1735731900;2025-01-01 12:45:00;35105533;0.001;0
Binnenhof18;871717720000051862;ellm;1735732800;2025-01-01 13:00:00;35105808;0.001;0
Binnenhof18;871717720000051862;ellm;1735733700;2025-01-01 13:15:00;35106147;0.001;0
Binnenhof18;871717720000051862;ellm;1735734600;2025-01-01 13:30:00;35106481;0.001;0
Binnenhof18;871717720000051862;ellm;1735735500;2025-01-01 13:45:00;35106830;0.001;0
Binnenhof18;871717720000051862;ellm;1735736400;2025-01-01 14:00:00;35107170;0.001;0
Binnenhof18;871717720000051862;ellm;1735737300;2025-01-01 14:15:00;35107713;0.001;0
Binnenhof18;871717720000051862;ellm;1735738200;2025-01-01 14:30:00;35108394;0.001;0
Binnenhof18;871717720000051862;ellm;1735739100;2025-01-01 14:45:00;35109068;0.001;0
Binnenhof18;871717720000051862;ellm;1735740000;2025-01-01 15:00:00;35109744;0.001;0
Binnenhof18;871717720000051862;ellm;1735740900;2025-01-01 15:15:00;35110056;0.001;0
Binnenhof18;871717720000051862;ellm;1735741800;2025-01-01 15:30:00;35110181;0.001;0
Binnenhof18;871717720000051862;ellm;1735742700;2025-01-01 15:45:00;35110512;0.001;0
Binnenhof18;871717720000051862;ellm;1735743600;2025-01-01 16:00:00;35110852;0.001;0
Binnenhof18;871717720000051862;ellm;1735744500;2025-01-01 16:15:00;35111193;0.001;0
Binnenhof18;871717720000051862;ellm;1735745400;2025-01-01 16:30:00;35111554;0.001;0
Binnenhof18;871717720000051862;ellm;1735746300;2025-01-01 16:45:00;35111906;0.001;0
Binnenhof18;871717720000051862;ellm;1735747200;2025-01-01 17:00:00;35112250;0.001;0
Binnenhof18;871717720000051862;ellm;1735748100;2025-01-01 17:15:00;35112608;0.001;0
Binnenhof18;871717720000051862;ellm;1735749000;2025-01-01 17:30:00;35112958;0.001;0
Binnenhof18;871717720000051862;ellm;1735749900;2025-01-01 17:45:00;35113317;0.001;0
Binnenhof18;871717720000051862;ellm;1735750800;2025-01-01 18:00:00;35113674;0.001;0
Binnenhof18;871717720000051862;ellm;1735751700;2025-01-01 18:15:00;35114023;0.001;0
Binnenhof18;871717720000051862;ellm;1735752600;2025-01-01 18:30:00;35114199;0.001;0
Binnenhof18;871717720000051862;ellm;1735753500;2025-01-01 18:45:00;35114253;0.001;0
Binnenhof18;871717720000051862;ellm;1735754400;2025-01-01 19:00:00;35114308;0.001;0
Binnenhof18;871717720000051862;ellm;1735755300;2025-01-01 19:15:00;35114366;0.001;0
Binnenhof18;871717720000051862;ellm;1735756200;2025-01-01 19:30:00;35114419;0.001;0
Binnenhof18;871717720000051862;ellm;1735757100;2025-01-01 19:45:00;35114480;0.001;0
Binnenhof18;871717720000051862;ellm;1735758000;2025-01-01 20:00:00;35114538;0.001;0
Binnenhof18;871717720000051862;ellm;1735758900;2025-01-01 20:15:00;35114593;0.001;0
Binnenhof18;871717720000051862;ellm;1735759800;2025-01-01 20:30:00;35114716;0.001;0
Binnenhof18;871717720000051862;ellm;1735760700;2025-01-01 20:45:00;35114859;0.001;0
Binnenhof18;871717720000051862;ellm;1735761600;2025-01-01 21:00:00;35114998;0.001;0
Binnenhof18;871717720000051862;ellm;1735762500;2025-01-01 21:15:00;35115202;0.001;0
Binnenhof18;871717720000051862;ellm;1735763400;2025-01-01 21:30:00;35115935;0.001;0
Binnenhof18;871717720000051862;ellm;1735764300;2025-01-01 21:45:00;35116715;0.001;0
Binnenhof18;871717720000051862;ellm;1735765200;2025-01-01 22:00:00;35117481;0.001;0
Binnenhof18;871717720000051862;ellm;1735766100;2025-01-01 22:15:00;35118193;0.001;0
Binnenhof18;871717720000051862;ellm;1735767000;2025-01-01 22:30:00;35118518;0.001;0
Binnenhof18;871717720000051862;ellm;1735767900;2025-01-01 22:45:00;35118614;0.001;0
Binnenhof18;871717720000051862;ellm;1735768800;2025-01-01 23:00:00;35118713;0.001;0
Binnenhof18;871717720000051862;ellm;1735769700;2025-01-01 23:15:00;35118800;0.001;0
Binnenhof18;871717720000051862;ellm;1735770600;2025-01-01 23:30:00;35119063;0.001;0
Binnenhof18;871717720000051862;ellm;1735771500;2025-01-01 23:45:00;35119456;0.001;0
Binnenhof18;871717720000051862;ellm;1735772400;2025-01-02 00:00:00;35119668;0.001;0
Binnenhof18;871717720000051862;ellm;1735773300;2025-01-02 00:15:00;35119766;0.001;0
Binnenhof18;871717720000051862;ellm;1735774200;2025-01-02 00:30:00;35119879;0.001;0
Binnenhof18;871717720000051862;ellm;1735775100;2025-01-02 00:45:00;35119983;0.001;0
Binnenhof18;871717720000051862;ellm;1735776000;2025-01-02 01:00:00;35120093;0.001;0
Binnenhof18;871717720000051862;ellm;1735776900;2025-01-02 01:15:00;35120175;0.001;0
Binnenhof18;871717720000051862;ellm;1735777800;2025-01-02 01:30:00;35120249;0.001;0
Binnenhof18;871717720000051862;ellm;1735778700;2025-01-02 01:45:00;35120319;0.001;0
Binnenhof18;871717720000051862;ellm;1735779600;2025-01-02 02:00:00;35120389;0.001;0
Binnenhof18;871717720000051862;ellm;1735780500;2025-01-02 02:15:00;35120451;0.001;0
Binnenhof18;871717720000051862;ellm;1735781400;2025-01-02 02:30:00;35120520;0.001;0
Binnenhof18;871717720000051862;ellm;1735782300;2025-01-02 02:45:00;35120587;0.001;0
Binnenhof18;871717720000051862;ellm;1735783200;2025-01-02 03:00:00;35120655;0.001;0
Binnenhof18;871717720000051862;ellm;1735784100;2025-01-02 03:15:00;35120724;0.001;0
Binnenhof18;871717720000051862;ellm;1735785000;2025-01-02 03:30:00;35120785;0.001;0
Binnenhof18;871717720000051862;ellm;1735785900;2025-01-02 03:45:00;35120855;0.001;0
Binnenhof18;871717720000051862;ellm;1735786800;2025-01-02 04:00:00;35120922;0.001;0
Binnenhof18;871717720000051862;ellm;1735787700;2025-01-02 04:15:00;35120990;0.001;0
Binnenhof18;871717720000051862;ellm;1735788600;2025-01-02 04:30:00;35121057;0.001;0
Binnenhof18;871717720000051862;ellm;1735789500;2025-01-02 04:45:00;35121121;0.001;0
Binnenhof18;871717720000051862;ellm;1735790400;2025-01-02 05:00:00;35121189;0.001;0
Binnenhof18;871717720000051862;ellm;1735791300;2025-01-02 05:15:00;35121260;0.001;0
Binnenhof18;871717720000051862;ellm;1735792200;2025-01-02 05:30:00;35121325;0.001;0
Binnenhof18;871717720000051862;ellm;1735793100;2025-01-02 05:45:00;35121386;0.001;0
Binnenhof18;871717720000051862;ellm;1735794000;2025-01-02 06:00:00;35121455;0.001;0
Binnenhof18;871717720000051862;ellm;1735794900;2025-01-02 06:15:00;35121523;0.001;0
Binnenhof18;871717720000051862;ellm;1735795800;2025-01-02 06:30:00;35121594;0.001;0
Binnenhof18;871717720000051862;ellm;1735796700;2025-01-02 06:45:00;35121660;0.001;0
Binnenhof18;871717720000051862;ellm;1735797600;2025-01-02 07:00:00;35121722;0.001;0
Binnenhof18;871717720000051862;ellm;1735798500;2025-01-02 07:15:00;35121792;0.001;0
Binnenhof18;871717720000051862;ellm;1735799400;2025-01-02 07:30:00;35121860;0.001;0
Binnenhof18;871717720000051862;ellm;1735800300;2025-01-02 07:45:00;35121925;0.001;0
Binnenhof18;871717720000051862;ellm;1735801200;2025-01-02 08:00:00;35121997;0.001;0
Binnenhof18;871717720000051862;ellm;1735802100;2025-01-02 08:15:00;35122059;0.001;0
