"Datum","EAN","Verbruik","Type","Piek"
"2021-12-25T00:00:00+01:00","871687120061402458","0.742","Elektriciteit","false"
"2021-12-25T01:00:00+01:00","871687120061402458","0.383","Elektriciteit","false"
"2021-12-25T02:00:00+01:00","871687120061402458","0.853","Elektriciteit","false"
"2021-12-25T03:00:00+01:00","871687120061402458","1.114","Elektriciteit","false"
"2021-12-25T04:00:00+01:00","871687120061402458","0.737","Elektriciteit","false"
"2021-12-25T05:00:00+01:00","871687120061402458","0.388","Elektriciteit","false"
"2021-12-25T06:00:00+01:00","871687120061402458","0.377","Elektriciteit","false"
"2021-12-25T07:00:00+01:00","871687120061402458","0.45","Elektriciteit","false"
"2021-12-25T08:00:00+01:00","871687120061402458","0.477","Elektriciteit","false"
"2021-12-25T09:00:00+01:00","871687120061402458","1.002","Elektriciteit","false"
"2021-12-25T10:00:00+01:00","871687120061402458","2.225","Elektriciteit","false"
"2021-12-25T11:00:00+01:00","871687120061402458","0.989","Elektriciteit","false"
"2021-12-25T12:00:00+01:00","871687120061402458","1.305","Elektriciteit","false"
"2021-12-25T13:00:00+01:00","871687120061402458","0.737","Elektriciteit","false"
"2021-12-25T14:00:00+01:00","871687120061402458","1.099","Elektriciteit","false"
"2021-12-25T15:00:00+01:00","871687120061402458","0.398","Elektriciteit","false"
"2021-12-25T16:00:00+01:00","871687120061402458","0.501","Elektriciteit","false"
"2021-12-25T17:00:00+01:00","871687120061402458","0.44","Elektriciteit","false"
"2021-12-25T18:00:00+01:00","871687120061402458","0.49","Elektriciteit","false"
"2021-12-25T19:00:00+01:00","871687120061402458","0.489","Elektriciteit","false"
"2021-12-25T20:00:00+01:00","871687120061402458","0.448","Elektriciteit","false"
"2021-12-25T21:00:00+01:00","871687120061402458","0.525","Elektriciteit","false"
"2021-12-25T22:00:00+01:00","871687120061402458","0.458","Elektriciteit","false"
"2021-12-25T23:00:00+01:00","871687120061402458","0.734","Elektriciteit","false"
"2021-12-26T00:00:00+01:00","871687120061402458","0.684","Elektriciteit","false"
"2021-12-26T01:00:00+01:00","871687120061402458","0.74","Elektriciteit","false"
"2021-12-26T02:00:00+01:00","871687120061402458","0.344","Elektriciteit","false"
"2021-12-26T03:00:00+01:00","871687120061402458","0.349","Elektriciteit","false"
"2021-12-26T04:00:00+01:00","871687120061402458","0.443","Elektriciteit","false"
"2021-12-26T05:00:00+01:00","871687120061402458","0.301","Elektriciteit","false"
"2021-12-26T06:00:00+01:00","871687120061402458","0.396","Elektriciteit","false"
"2021-12-26T07:00:00+01:00","871687120061402458","0.388","Elektriciteit","false"
"2021-12-26T08:00:00+01:00","871687120061402458","0.587","Elektriciteit","false"
"2021-12-26T09:00:00+01:00","871687120061402458","0.708","Elektriciteit","false"
"2021-12-26T10:00:00+01:00","871687120061402458","0.441","Elektriciteit","false"
"2021-12-26T11:00:00+01:00","871687120061402458","0.549","Elektriciteit","false"
"2021-12-26T12:00:00+01:00","871687120061402458","1.432","Elektriciteit","false"
"2021-12-26T13:00:00+01:00","871687120061402458","0.685","Elektriciteit","false"
"2021-12-26T14:00:00+01:00","871687120061402458","0.545","Elektriciteit","false"
"2021-12-26T15:00:00+01:00","871687120061402458","0.627","Elektriciteit","false"
"2021-12-26T16:00:00+01:00","871687120061402458","0.728","Elektriciteit","false"
"2021-12-26T17:00:00+01:00","871687120061402458","0.649","Elektriciteit","false"
"2021-12-26T18:00:00+01:00","871687120061402458","0.739","Elektriciteit","false"
"2021-12-26T19:00:00+01:00","871687120061402458","0.584","Elektriciteit","false"
"2021-12-26T20:00:00+01:00","871687120061402458","0.621","Elektriciteit","false"
"2021-12-26T21:00:00+01:00","871687120061402458","0.59","Elektriciteit","false"
"2021-12-26T22:00:00+01:00","871687120061402458","0.686","Elektriciteit","false"
"2021-12-26T23:00:00+01:00","871687120061402458","0.662","Elektriciteit","false"
"2021-12-27T00:00:00+01:00","871687120061402458","0.55","Elektriciteit","false"
"2021-12-27T01:00:00+01:00","871687120061402458","0.558","Elektriciteit","false"
"2021-12-27T02:00:00+01:00","871687120061402458","0.531","Elektriciteit","false"
"2021-12-27T03:00:00+01:00","871687120061402458","0.513","Elektriciteit","false"
"2021-12-27T04:00:00+01:00","871687120061402458","0.585","Elektriciteit","false"
"2021-12-27T05:00:00+01:00","871687120061402458","0.562","Elektriciteit","false"
"2021-12-27T06:00:00+01:00","871687120061402458","0.486","Elektriciteit","false"
"2021-12-27T07:00:00+01:00","871687120061402458","0.537","Elektriciteit","true"
"2021-12-27T08:00:00+01:00","871687120061402458","0.646","Elektriciteit","true"
"2021-12-27T09:00:00+01:00","871687120061402458","0.725","Elektriciteit","true"
"2021-12-27T10:00:00+01:00","871687120061402458","1.041","Elektriciteit","true"
"2021-12-27T11:00:00+01:00","871687120061402458","1.494","Elektriciteit","true"
"2021-12-27T12:00:00+01:00","871687120061402458","0.905","Elektriciteit","true"
"2021-12-27T13:00:00+01:00","871687120061402458","0.671","Elektriciteit","true"
"2021-12-27T14:00:00+01:00","871687120061402458","0.612","Elektriciteit","true"
"2021-12-27T15:00:00+01:00","871687120061402458","0.713","Elektriciteit","true"
"2021-12-27T16:00:00+01:00","871687120061402458","0.906","Elektriciteit","true"
"2021-12-27T17:00:00+01:00","871687120061402458","0.857","Elektriciteit","true"
"2021-12-27T18:00:00+01:00","871687120061402458","0.649","Elektriciteit","true"
"2021-12-27T19:00:00+01:00","871687120061402458","0.91","Elektriciteit","true"
"2021-12-27T20:00:00+01:00","871687120061402458","0.676","Elektriciteit","true"
"2021-12-27T21:00:00+01:00","871687120061402458","1.051","Elektriciteit","true"
"2021-12-27T22:00:00+01:00","871687120061402458","0.744","Elektriciteit","true"
"2021-12-27T23:00:00+01:00","871687120061402458","0.652","Elektriciteit","false"
"2021-12-28T00:00:00+01:00","871687120061402458","0.474","Elektriciteit","false"
"2021-12-28T01:00:00+01:00","871687120061402458","0.323","Elektriciteit","false"
"2021-12-28T02:00:00+01:00","871687120061402458","1.052","Elektriciteit","false"
"2021-12-28T03:00:00+01:00","871687120061402458","0.803","Elektriciteit","false"
"2021-12-28T04:00:00+01:00","871687120061402458","0.301","Elektriciteit","false"
"2021-12-28T05:00:00+01:00","871687120061402458","0.308","Elektriciteit","false"
"2021-12-28T06:00:00+01:00","871687120061402458","0.288","Elektriciteit","false"
"2021-12-28T07:00:00+01:00","871687120061402458","0.266","Elektriciteit","true"
"2021-12-28T08:00:00+01:00","871687120061402458","0.427","Elektriciteit","true"
"2021-12-28T09:00:00+01:00","871687120061402458","0.532","Elektriciteit","true"
"2021-12-28T10:00:00+01:00","871687120061402458","0.557","Elektriciteit","true"
"2021-12-28T11:00:00+01:00","871687120061402458","0.671","Elektriciteit","true"
"2021-12-28T12:00:00+01:00","871687120061402458","0.678","Elektriciteit","true"
"2021-12-28T13:00:00+01:00","871687120061402458","0.662","Elektriciteit","true"
