Date/Time,Energy Produced (Wh),Energy Consumed (Wh),Exported to Grid (Wh),Imported from Grid (Wh)
10/12/2022,8298,7357,5058,4117
10/13/2022,5146,12714,1518,9086
10/14/2022,6876,13083,2620,8827
10/15/2022,12090,13550,7165,8625
10/16/2022,15742,16147,10482,10887
10/17/2022,4116,11924,1469,9277
10/18/2022,23034,11067,18537,6570
10/19/2022,19095,10882,15453,7240
10/20/2022,10567,11311,6782,7526
10/21/2022,18485,14411,13958,9884
10/22/2022,14583,9335,11583,6335
10/23/2022,6400,11951,3296,8847
10/24/2022,8492,11444,4906,7858
10/25/2022,16638,12928,11536,7826
10/26/2022,15985,11816,11620,7451
10/27/2022,8348,11886,4131,7669
10/28/2022,8196,12095,4412,8311
10/29/2022,10115,12368,5485,7738
10/30/2022,7724,11896,4391,8563
10/31/2022,5328,11133,2228,8033
11/01/2022,16053,12454,11270,7671
11/02/2022,17106,13423,11694,8011
11/03/2022,5879,10916,3478,8515
11/04/2022,7070,10932,3316,7178
11/05/2022,4100,12375,1200,9475
11/06/2022,1306,10709,0,9403
11/07/2022,4235,13143,1513,10421
11/08/2022,9023,13895,5295,10167
11/09/2022,11172,11303,7903,8034
11/10/2022,13309,11896,8601,7188
11/11/2022,9938,12070,6311,8443
11/12/2022,17889,12940,13600,8651
11/13/2022,15581,12309,12060,8788
11/14/2022,15136,16453,9144,10461
11/15/2022,5911,11711,3325,9125
11/16/2022,6531,12785,3007,9261
11/17/2022,2177,13991,44,11858
11/18/2022,2024,11448,152,9576
11/19/2022,1142,13145,0,12003
11/20/2022,1541,12674,58,11191
11/21/2022,3274,13629,412,10767
11/22/2022,2720,12589,416,10285
11/23/2022,3489,13373,1097,10981
11/24/2022,12588,12450,9727,9589
11/25/2022,14530,13788,9923,9181
11/26/2022,9187,15902,5677,12392
11/27/2022,949,13980,0,13031
11/28/2022,3646,12908,1074,10336
11/29/2022,3092,13768,481,11157
11/30/2022,1972,12310,160,10498
12/01/2022,12792,13555,8076,8839
12/02/2022,1863,13286,48,11471
12/03/2022,687,9891,0,9204
12/04/2022,1042,11094,0,10052
12/05/2022,710,14958,0,14248
12/06/2022,6428,12769,3905,10246
12/07/2022,5556,13562,2677,10683
12/08/2022,2231,12988,400,11157
12/09/2022,2021,13036,8,11023
12/10/2022,5457,11451,3503,9497
12/11/2022,985,11916,0,10931
12/12/2022,13039,14095,8459,9515
12/13/2022,4257,12784,1374,9901
12/14/2022,13680,11034,10775,8129
12/15/2022,11967,13280,7696,9009
