Date/Time,Energy Delivered (Wh)
10/12/2022,"8,298"
10/13/2022,"5,146"
10/14/2022,"6,876"
10/15/2022,"12,090"
10/16/2022,"15,742"
10/17/2022,"4,116"
10/18/2022,"23,034"
10/19/2022,"19,095"
10/20/2022,"10,567"
10/21/2022,"18,485"
10/22/2022,"14,583"
10/23/2022,"6,400"
10/24/2022,"8,492"
10/25/2022,"16,638"
10/26/2022,"15,985"
10/27/2022,"8,348"
10/28/2022,"8,196"
10/29/2022,"10,115"
10/30/2022,"7,724"
10/31/2022,"5,328"
11/01/2022,"16,053"
11/02/2022,"17,106"
11/03/2022,"5,879"
11/04/2022,"7,070"
11/05/2022,"4,100"
11/06/2022,"1,306"
11/07/2022,"4,235"
11/08/2022,"9,023"
11/09/2022,"11,172"
11/10/2022,"13,309"
11/11/2022,"9,938"
11/12/2022,"17,889"
11/13/2022,"15,581"
11/14/2022,"15,136"
11/15/2022,"5,911"
11/16/2022,"6,531"
11/17/2022,"2,177"
11/18/2022,"2,024"
11/19/2022,"1,142"
11/20/2022,"1,541"
11/21/2022,"3,274"
11/22/2022,"2,720"
11/23/2022,"3,489"
11/24/2022,"12,588"
11/25/2022,"14,530"
11/26/2022,"9,187"
11/27/2022,949
11/28/2022,"3,646"
11/29/2022,"3,092"
11/30/2022,"1,972"
12/01/2022,"12,792"
12/02/2022,"1,863"
12/03/2022,687
12/04/2022,"1,042"
12/05/2022,710
12/06/2022,"6,428"
12/07/2022,"5,556"
12/08/2022,"2,231"
12/09/2022,"2,021"
12/10/2022,"5,457"
12/11/2022,985
12/12/2022,"13,039"
12/13/2022,"4,257"
12/14/2022,"13,680"
12/15/2022,"11,967"
12/16/2022,"12,460"
12/17/2022,"12,259"
12/18/2022,"1,464"
12/19/2022,"1,343"
12/20/2022,598
12/21/2022,"2,755"
12/22/2022,"1,702"
12/23/2022,494
12/24/2022,"5,084"
12/25/2022,798
12/26/2022,"7,001"
12/27/2022,"4,348"
12/28/2022,"1,035"
12/29/2022,"2,322"
12/30/2022,681
12/31/2022,700
01/01/2023,"2,065"
01/02/2023,"2,112"
01/03/2023,"9,292"
01/04/2023,"1,225"
01/05/2023,"3,154"
01/06/2023,"10,501"
01/07/2023,"4,672"
01/08/2023,"11,482"
01/09/2023,"4,587"
01/10/2023,"1,403"
01/11/2023,"11,910"
01/12/2023,560
01/13/2023,"1,907"
01/14/2023,598
