From (date);From (time);Until (date);Until (time);EAN code;Meter;Meter type;Register;Volume;Unit;Validation status;Description
22/10/2023;00:00:00;22/10/2023;00:15:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;;kWh;No consumption;
22/10/2023;00:00:00;22/10/2023;00:15:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;;kWh;No consumption;
22/10/2023;00:15:00;22/10/2023;00:30:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,173;kWh;Read;
22/10/2023;00:15:00;22/10/2023;00:30:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;00:30:00;22/10/2023;00:45:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,162;kWh;Read;
22/10/2023;00:30:00;22/10/2023;00:45:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;00:45:00;22/10/2023;01:00:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,149;kWh;Read;
22/10/2023;00:45:00;22/10/2023;01:00:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;01:00:00;22/10/2023;01:15:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,168;kWh;Read;
22/10/2023;01:00:00;22/10/2023;01:15:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;01:15:00;22/10/2023;01:30:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,146;kWh;Read;
22/10/2023;01:15:00;22/10/2023;01:30:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;01:30:00;22/10/2023;01:45:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,146;kWh;Read;
22/10/2023;01:30:00;22/10/2023;01:45:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;01:45:00;22/10/2023;02:00:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,160;kWh;Read;
22/10/2023;01:45:00;22/10/2023;02:00:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;02:00:00;22/10/2023;02:15:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,174;kWh;Read;
22/10/2023;02:00:00;22/10/2023;02:15:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;02:15:00;22/10/2023;02:30:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,142;kWh;Read;
22/10/2023;02:15:00;22/10/2023;02:30:00;="123456879123456789";1SAG1234567890;Digital meter;Injection Night;0,000;kWh;Read;
22/10/2023;02:30:00;22/10/2023;02:45:00;="123456879123456789";1SAG1234567890;Digital meter;Offtake Night;0,143;kWh;Read;
