From (date);From (time);Until (date);Until (time);EAN code;Meter;Meter type;Register;Volume;Unit;Validation status;Caloric upper value;Description
22/10/2023;06:00:00;22/10/2023;07:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
22/10/2023;06:00:00;22/10/2023;07:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
22/10/2023;07:00:00;22/10/2023;08:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
22/10/2023;07:00:00;22/10/2023;08:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
22/10/2023;08:00:00;22/10/2023;09:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,364;m³;Read;;
22/10/2023;08:00:00;22/10/2023;09:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;4,125;kWh;Read;;
22/10/2023;09:00:00;22/10/2023;10:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
22/10/2023;09:00:00;22/10/2023;10:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
22/10/2023;10:00:00;22/10/2023;11:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
22/10/2023;10:00:00;22/10/2023;11:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
22/10/2023;11:00:00;22/10/2023;12:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
22/10/2023;11:00:00;22/10/2023;12:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
22/10/2023;12:00:00;22/10/2023;13:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
22/10/2023;12:00:00;22/10/2023;13:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
22/10/2023;13:00:00;22/10/2023;14:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
22/10/2023;13:00:00;22/10/2023;14:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
22/10/2023;14:00:00;22/10/2023;15:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
22/10/2023;14:00:00;22/10/2023;15:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
22/10/2023;15:00:00;22/10/2023;16:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
22/10/2023;15:00:00;22/10/2023;16:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
22/10/2023;16:00:00;22/10/2023;17:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
22/10/2023;16:00:00;22/10/2023;17:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
22/10/2023;17:00:00;22/10/2023;18:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,147;m³;Read;;
22/10/2023;17:00:00;22/10/2023;18:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;1,666;kWh;Read;;
22/10/2023;18:00:00;22/10/2023;19:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,091;m³;Read;;
22/10/2023;18:00:00;22/10/2023;19:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;1,031;kWh;Read;;
22/10/2023;19:00:00;22/10/2023;20:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
22/10/2023;19:00:00;22/10/2023;20:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
22/10/2023;20:00:00;22/10/2023;21:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,488;m³;Read;;
22/10/2023;20:00:00;22/10/2023;21:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;5,530;kWh;Read;;
22/10/2023;21:00:00;22/10/2023;22:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
22/10/2023;21:00:00;22/10/2023;22:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
22/10/2023;22:00:00;22/10/2023;23:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,584;m³;Read;;
22/10/2023;22:00:00;22/10/2023;23:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;6,618;kWh;Read;;
22/10/2023;23:00:00;23/10/2023;00:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
22/10/2023;23:00:00;23/10/2023;00:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
23/10/2023;00:00:00;23/10/2023;01:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
23/10/2023;00:00:00;23/10/2023;01:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
23/10/2023;01:00:00;23/10/2023;02:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
23/10/2023;01:00:00;23/10/2023;02:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
23/10/2023;02:00:00;23/10/2023;03:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
23/10/2023;02:00:00;23/10/2023;03:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
23/10/2023;03:00:00;23/10/2023;04:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
23/10/2023;03:00:00;23/10/2023;04:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
23/10/2023;04:00:00;23/10/2023;05:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
23/10/2023;04:00:00;23/10/2023;05:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
23/10/2023;05:00:00;23/10/2023;06:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
23/10/2023;05:00:00;23/10/2023;06:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
23/10/2023;06:00:00;23/10/2023;07:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,512;m³;Read;;
23/10/2023;06:00:00;23/10/2023;07:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;5,802;kWh;Read;;
23/10/2023;07:00:00;23/10/2023;08:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,424;m³;Read;;
23/10/2023;07:00:00;23/10/2023;08:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;4,805;kWh;Read;;
23/10/2023;08:00:00;23/10/2023;09:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,151;m³;Read;;
23/10/2023;08:00:00;23/10/2023;09:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;1,711;kWh;Read;;
23/10/2023;09:00:00;23/10/2023;10:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
23/10/2023;09:00:00;23/10/2023;10:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
23/10/2023;10:00:00;23/10/2023;11:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,258;m³;Read;;
23/10/2023;10:00:00;23/10/2023;11:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;2,924;kWh;Read;;
23/10/2023;11:00:00;23/10/2023;12:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
23/10/2023;11:00:00;23/10/2023;12:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
23/10/2023;12:00:00;23/10/2023;13:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
23/10/2023;12:00:00;23/10/2023;13:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
23/10/2023;13:00:00;23/10/2023;14:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
23/10/2023;13:00:00;23/10/2023;14:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
23/10/2023;14:00:00;23/10/2023;15:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
23/10/2023;14:00:00;23/10/2023;15:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
23/10/2023;15:00:00;23/10/2023;16:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
23/10/2023;15:00:00;23/10/2023;16:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
23/10/2023;16:00:00;23/10/2023;17:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,798;m³;Read;;
23/10/2023;16:00:00;23/10/2023;17:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;9,043;kWh;Read;;
23/10/2023;17:00:00;23/10/2023;18:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,383;m³;Read;;
23/10/2023;17:00:00;23/10/2023;18:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;4,340;kWh;Read;;
23/10/2023;18:00:00;23/10/2023;19:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
23/10/2023;18:00:00;23/10/2023;19:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
23/10/2023;19:00:00;23/10/2023;20:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
23/10/2023;19:00:00;23/10/2023;20:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
23/10/2023;20:00:00;23/10/2023;21:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
23/10/2023;20:00:00;23/10/2023;21:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
23/10/2023;21:00:00;23/10/2023;22:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
23/10/2023;21:00:00;23/10/2023;22:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
23/10/2023;22:00:00;23/10/2023;23:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,532;m³;Read;;
23/10/2023;22:00:00;23/10/2023;23:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;6,029;kWh;Read;;
23/10/2023;23:00:00;24/10/2023;00:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
23/10/2023;23:00:00;24/10/2023;00:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
24/10/2023;00:00:00;24/10/2023;01:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
24/10/2023;00:00:00;24/10/2023;01:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
24/10/2023;01:00:00;24/10/2023;02:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
24/10/2023;01:00:00;24/10/2023;02:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
24/10/2023;02:00:00;24/10/2023;03:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
24/10/2023;02:00:00;24/10/2023;03:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
24/10/2023;03:00:00;24/10/2023;04:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
24/10/2023;03:00:00;24/10/2023;04:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
24/10/2023;04:00:00;24/10/2023;05:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;m³;Read;;
24/10/2023;04:00:00;24/10/2023;05:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,000;kWh;Read;;
24/10/2023;05:00:00;24/10/2023;06:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,973;m³;Read;;
24/10/2023;05:00:00;24/10/2023;06:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;11,026;kWh;Read;;
24/10/2023;06:00:00;24/10/2023;07:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,456;m³;Read;;
24/10/2023;06:00:00;24/10/2023;07:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;5,167;kWh;Read;;
24/10/2023;07:00:00;24/10/2023;08:00:00;="123456879123456789";7MIT1234567890;Digital meter;Offtake;0,310;m³;Read;;
