Van Datum;Van Tijdstip;Tot Datum;Tot Tijdstip;EAN;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus
12-10-2021;00:00:00;12-10-2021;00:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Nacht;;kWh;Geen verbruik
12-10-2021;00:00:00;12-10-2021;00:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Nacht;;kWh;Geen verbruik
12-10-2021;00:15:00;12-10-2021;00:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Nacht;;kWh;Geen verbruik
12-10-2021;00:15:00;12-10-2021;00:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Nacht;;kWh;Geen verbruik
12-10-2021;00:30:00;12-10-2021;00:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Nacht;;kWh;Geen verbruik
12-10-2021;00:30:00;12-10-2021;00:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Nacht;;kWh;Geen verbruik
12-10-2021;00:45:00;12-10-2021;01:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Nacht;;kWh;Geen verbruik
12-10-2021;00:45:00;12-10-2021;01:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Nacht;;kWh;Geen verbruik
12-10-2021;01:00:00;12-10-2021;01:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Nacht;;kWh;Geen verbruik
12-10-2021;01:00:00;12-10-2021;01:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Nacht;;kWh;Geen verbruik
12-10-2021;01:15:00;12-10-2021;01:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Nacht;;kWh;Geen verbruik
12-10-2021;01:15:00;12-10-2021;01:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Nacht;;kWh;Geen verbruik
12-10-2021;01:30:00;12-10-2021;01:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Nacht;;kWh;Geen verbruik
12-10-2021;01:30:00;12-10-2021;01:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Nacht;;kWh;Geen verbruik
12-10-2021;01:45:00;12-10-2021;02:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Nacht;;kWh;Geen verbruik
12-10-2021;01:45:00;12-10-2021;02:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Nacht;;kWh;Geen verbruik
12-10-2021;02:00:00;12-10-2021;02:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Nacht;;kWh;Geen verbruik
12-10-2021;02:00:00;12-10-2021;02:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Nacht;;kWh;Geen verbruik
12-10-2021;02:15:00;12-10-2021;02:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Nacht;;kWh;Geen verbruik
12-10-2021;02:15:00;12-10-2021;02:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Nacht;;kWh;Geen verbruik
12-10-2021;02:30:00;12-10-2021;02:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Nacht;;kWh;Geen verbruik
12-10-2021;02:30:00;12-10-2021;02:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Nacht;;kWh;Geen verbruik
12-10-2021;02:45:00;12-10-2021;03:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Nacht;;kWh;Geen verbruik
12-10-2021;02:45:00;12-10-2021;03:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Nacht;;kWh;Geen verbruik
12-10-2021;03:00:00;12-10-2021;03:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Nacht;;kWh;Geen verbruik
12-10-2021;03:00:00;12-10-2021;03:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Nacht;;kWh;Geen verbruik
12-10-2021;03:15:00;12-10-2021;03:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Nacht;;kWh;Geen verbruik
12-10-2021;03:15:00;12-10-2021;03:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Nacht;;kWh;Geen verbruik
12-10-2021;03:30:00;12-10-2021;03:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Nacht;;kWh;Geen verbruik
12-10-2021;03:30:00;12-10-2021;03:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Nacht;;kWh;Geen verbruik
12-10-2021;03:45:00;12-10-2021;04:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Nacht;;kWh;Geen verbruik
12-10-2021;03:45:00;12-10-2021;04:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Nacht;;kWh;Geen verbruik
12-10-2021;04:00:00;12-10-2021;04:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Nacht;;kWh;Geen verbruik
12-10-2021;04:00:00;12-10-2021;04:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Nacht;;kWh;Geen verbruik
12-10-2021;04:15:00;12-10-2021;04:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Nacht;;kWh;Geen verbruik
12-10-2021;04:15:00;12-10-2021;04:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Nacht;;kWh;Geen verbruik
12-10-2021;04:30:00;12-10-2021;04:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Nacht;;kWh;Geen verbruik
12-10-2021;04:30:00;12-10-2021;04:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Nacht;;kWh;Geen verbruik
12-10-2021;04:45:00;12-10-2021;05:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Nacht;;kWh;Geen verbruik
12-10-2021;04:45:00;12-10-2021;05:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Nacht;;kWh;Geen verbruik
12-10-2021;05:00:00;12-10-2021;05:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Nacht;;kWh;Geen verbruik
12-10-2021;05:00:00;12-10-2021;05:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Nacht;;kWh;Geen verbruik
12-10-2021;05:15:00;12-10-2021;05:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Nacht;;kWh;Geen verbruik
12-10-2021;05:15:00;12-10-2021;05:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Nacht;;kWh;Geen verbruik
12-10-2021;05:30:00;12-10-2021;05:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Nacht;;kWh;Geen verbruik
12-10-2021;05:30:00;12-10-2021;05:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Nacht;;kWh;Geen verbruik
12-10-2021;05:45:00;12-10-2021;06:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Nacht;;kWh;Geen verbruik
12-10-2021;05:45:00;12-10-2021;06:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Nacht;;kWh;Geen verbruik
12-10-2021;06:00:00;12-10-2021;06:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Nacht;;kWh;Geen verbruik
12-10-2021;06:00:00;12-10-2021;06:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Nacht;;kWh;Geen verbruik
12-10-2021;06:15:00;12-10-2021;06:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Nacht;;kWh;Geen verbruik
12-10-2021;06:15:00;12-10-2021;06:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Nacht;;kWh;Geen verbruik
12-10-2021;06:30:00;12-10-2021;06:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Nacht;;kWh;Geen verbruik
12-10-2021;06:30:00;12-10-2021;06:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Nacht;;kWh;Geen verbruik
12-10-2021;06:45:00;12-10-2021;07:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Nacht;;kWh;Geen verbruik
12-10-2021;06:45:00;12-10-2021;07:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Nacht;;kWh;Geen verbruik
12-10-2021;07:00:00;12-10-2021;07:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;;kWh;Geen verbruik
12-10-2021;07:00:00;12-10-2021;07:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;;kWh;Geen verbruik
12-10-2021;07:15:00;12-10-2021;07:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;;kWh;Geen verbruik
12-10-2021;07:15:00;12-10-2021;07:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;;kWh;Geen verbruik
12-10-2021;07:30:00;12-10-2021;07:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;0,067;kWh;Gevalideerd
12-10-2021;07:30:00;12-10-2021;07:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
12-10-2021;07:45:00;12-10-2021;08:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;0,080;kWh;Gevalideerd
12-10-2021;07:45:00;12-10-2021;08:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
12-10-2021;08:00:00;12-10-2021;08:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;0,079;kWh;Gevalideerd
12-10-2021;08:00:00;12-10-2021;08:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
12-10-2021;08:15:00;12-10-2021;08:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;0,069;kWh;Gevalideerd
12-10-2021;08:15:00;12-10-2021;08:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
12-10-2021;08:30:00;12-10-2021;08:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;0,061;kWh;Gevalideerd
12-10-2021;08:30:00;12-10-2021;08:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
12-10-2021;08:45:00;12-10-2021;09:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;0,048;kWh;Gevalideerd
12-10-2021;08:45:00;12-10-2021;09:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
12-10-2021;09:00:00;12-10-2021;09:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;0,027;kWh;Gevalideerd
12-10-2021;09:00:00;12-10-2021;09:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
12-10-2021;09:15:00;12-10-2021;09:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;0,048;kWh;Gevalideerd
12-10-2021;09:15:00;12-10-2021;09:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
12-10-2021;09:30:00;12-10-2021;09:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;0,064;kWh;Gevalideerd
12-10-2021;09:30:00;12-10-2021;09:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
12-10-2021;09:45:00;12-10-2021;10:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;0,052;kWh;Gevalideerd
12-10-2021;09:45:00;12-10-2021;10:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
12-10-2021;10:00:00;12-10-2021;10:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;0,056;kWh;Gevalideerd
12-10-2021;10:00:00;12-10-2021;10:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
12-10-2021;10:15:00;12-10-2021;10:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;0,076;kWh;Gevalideerd
12-10-2021;10:15:00;12-10-2021;10:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
12-10-2021;10:30:00;12-10-2021;10:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;0,068;kWh;Gevalideerd
12-10-2021;10:30:00;12-10-2021;10:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
12-10-2021;10:45:00;12-10-2021;11:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;0,093;kWh;Gevalideerd
12-10-2021;10:45:00;12-10-2021;11:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
12-10-2021;11:00:00;12-10-2021;11:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;0,066;kWh;Gevalideerd
12-10-2021;11:00:00;12-10-2021;11:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
12-10-2021;11:15:00;12-10-2021;11:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;0,061;kWh;Gevalideerd
12-10-2021;11:15:00;12-10-2021;11:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
12-10-2021;11:30:00;12-10-2021;11:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;0,047;kWh;Gevalideerd
12-10-2021;11:30:00;12-10-2021;11:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
12-10-2021;11:45:00;12-10-2021;12:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;0,058;kWh;Gevalideerd
12-10-2021;11:45:00;12-10-2021;12:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
12-10-2021;12:00:00;12-10-2021;12:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;0,033;kWh;Gevalideerd
12-10-2021;12:00:00;12-10-2021;12:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
12-10-2021;12:15:00;12-10-2021;12:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;0,031;kWh;Gevalideerd
12-10-2021;12:15:00;12-10-2021;12:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
12-10-2021;12:30:00;12-10-2021;12:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;0,059;kWh;Gevalideerd
12-10-2021;12:30:00;12-10-2021;12:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
12-10-2021;12:45:00;12-10-2021;13:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;0,050;kWh;Gevalideerd
12-10-2021;12:45:00;12-10-2021;13:00:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
12-10-2021;13:00:00;12-10-2021;13:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;0,071;kWh;Gevalideerd
12-10-2021;13:00:00;12-10-2021;13:15:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
12-10-2021;13:15:00;12-10-2021;13:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;0,035;kWh;Gevalideerd
12-10-2021;13:15:00;12-10-2021;13:30:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
12-10-2021;13:30:00;12-10-2021;13:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Afname Dag;0,018;kWh;Gevalideerd
12-10-2021;13:30:00;12-10-2021;13:45:00;="123456879123456789";1SAG12345678;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
