Van datum;Van tijdstip;Tot datum;Tot tijdstip;EAN-code;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus;Calorische Bovenwaarde
10-01-2022;06:00:00;10-01-2022;07:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;;kWh;Geen verbruik;
10-01-2022;06:00:00;10-01-2022;07:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;;m³;Geen verbruik;
10-01-2022;07:00:00;10-01-2022;08:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;5,445;kWh;Gevalideerd;Voorlopig
10-01-2022;07:00:00;10-01-2022;08:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,495;m³;Gevalideerd;
10-01-2022;08:00:00;10-01-2022;09:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;5,005;kWh;Gevalideerd;Voorlopig
10-01-2022;08:00:00;10-01-2022;09:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,455;m³;Gevalideerd;
10-01-2022;09:00:00;10-01-2022;10:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;4,697;kWh;Gevalideerd;Voorlopig
10-01-2022;09:00:00;10-01-2022;10:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,427;m³;Gevalideerd;
10-01-2022;10:00:00;10-01-2022;11:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;4,543;kWh;Gevalideerd;Voorlopig
10-01-2022;10:00:00;10-01-2022;11:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,413;m³;Gevalideerd;
10-01-2022;11:00:00;10-01-2022;12:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;4,565;kWh;Gevalideerd;Voorlopig
10-01-2022;11:00:00;10-01-2022;12:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,415;m³;Gevalideerd;
10-01-2022;12:00:00;10-01-2022;13:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;4,710;kWh;Gevalideerd;Voorlopig
10-01-2022;12:00:00;10-01-2022;13:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,413;m³;Gevalideerd;
10-01-2022;13:00:00;10-01-2022;14:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;4,732;kWh;Gevalideerd;Voorlopig
10-01-2022;13:00:00;10-01-2022;14:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,415;m³;Gevalideerd;
10-01-2022;14:00:00;10-01-2022;15:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;4,721;kWh;Gevalideerd;Voorlopig
10-01-2022;14:00:00;10-01-2022;15:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,414;m³;Gevalideerd;
10-01-2022;15:00:00;10-01-2022;16:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;4,721;kWh;Gevalideerd;Voorlopig
10-01-2022;15:00:00;10-01-2022;16:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,414;m³;Gevalideerd;
10-01-2022;16:00:00;10-01-2022;17:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;4,721;kWh;Gevalideerd;Voorlopig
10-01-2022;16:00:00;10-01-2022;17:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,414;m³;Gevalideerd;
10-01-2022;17:00:00;10-01-2022;18:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;4,744;kWh;Gevalideerd;Voorlopig
10-01-2022;17:00:00;10-01-2022;18:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,416;m³;Gevalideerd;
10-01-2022;18:00:00;10-01-2022;19:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;2,680;kWh;Gevalideerd;Voorlopig
10-01-2022;18:00:00;10-01-2022;19:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,235;m³;Gevalideerd;
10-01-2022;19:00:00;10-01-2022;20:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,011;kWh;Gevalideerd;Voorlopig
10-01-2022;19:00:00;10-01-2022;20:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,001;m³;Gevalideerd;
10-01-2022;20:00:00;10-01-2022;21:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;4,516;kWh;Gevalideerd;Voorlopig
10-01-2022;20:00:00;10-01-2022;21:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,396;m³;Gevalideerd;
10-01-2022;21:00:00;10-01-2022;22:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;4,755;kWh;Gevalideerd;Voorlopig
10-01-2022;21:00:00;10-01-2022;22:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,417;m³;Gevalideerd;
10-01-2022;22:00:00;10-01-2022;23:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,011;kWh;Gevalideerd;Voorlopig
10-01-2022;22:00:00;10-01-2022;23:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,001;m³;Gevalideerd;
10-01-2022;23:00:00;11-01-2022;00:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,000;kWh;Gevalideerd;Voorlopig
10-01-2022;23:00:00;11-01-2022;00:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,000;m³;Gevalideerd;
11-01-2022;00:00:00;11-01-2022;01:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,011;kWh;Gevalideerd;Definitief
11-01-2022;00:00:00;11-01-2022;01:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,001;m³;Gevalideerd;
11-01-2022;01:00:00;11-01-2022;02:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,000;kWh;Gevalideerd;Definitief
11-01-2022;01:00:00;11-01-2022;02:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,000;m³;Gevalideerd;
11-01-2022;02:00:00;11-01-2022;03:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;5,030;kWh;Gevalideerd;Definitief
11-01-2022;02:00:00;11-01-2022;03:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,441;m³;Gevalideerd;
11-01-2022;03:00:00;11-01-2022;04:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;4,779;kWh;Gevalideerd;Definitief
11-01-2022;03:00:00;11-01-2022;04:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,419;m³;Gevalideerd;
11-01-2022;04:00:00;11-01-2022;05:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;4,756;kWh;Gevalideerd;Definitief
11-01-2022;04:00:00;11-01-2022;05:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,417;m³;Gevalideerd;
11-01-2022;05:00:00;11-01-2022;06:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;4,767;kWh;Gevalideerd;Definitief
11-01-2022;05:00:00;11-01-2022;06:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,418;m³;Gevalideerd;
11-01-2022;06:00:00;11-01-2022;07:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;4,745;kWh;Gevalideerd;Definitief
11-01-2022;06:00:00;11-01-2022;07:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,416;m³;Gevalideerd;
11-01-2022;07:00:00;11-01-2022;08:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;3,627;kWh;Gevalideerd;Definitief
11-01-2022;07:00:00;11-01-2022;08:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,318;m³;Gevalideerd;
11-01-2022;08:00:00;11-01-2022;09:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;5,281;kWh;Gevalideerd;Definitief
11-01-2022;08:00:00;11-01-2022;09:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,463;m³;Gevalideerd;
11-01-2022;09:00:00;11-01-2022;10:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;5,064;kWh;Gevalideerd;Definitief
11-01-2022;09:00:00;11-01-2022;10:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,444;m³;Gevalideerd;
11-01-2022;10:00:00;11-01-2022;11:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;4,767;kWh;Gevalideerd;Definitief
11-01-2022;10:00:00;11-01-2022;11:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,418;m³;Gevalideerd;
11-01-2022;11:00:00;11-01-2022;12:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;4,756;kWh;Gevalideerd;Definitief
11-01-2022;11:00:00;11-01-2022;12:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,417;m³;Gevalideerd;
11-01-2022;12:00:00;11-01-2022;13:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;4,767;kWh;Gevalideerd;Definitief
11-01-2022;12:00:00;11-01-2022;13:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,418;m³;Gevalideerd;
11-01-2022;13:00:00;11-01-2022;14:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;4,733;kWh;Gevalideerd;Definitief
11-01-2022;13:00:00;11-01-2022;14:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,415;m³;Gevalideerd;
11-01-2022;14:00:00;11-01-2022;15:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;2,886;kWh;Gevalideerd;Definitief
11-01-2022;14:00:00;11-01-2022;15:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,253;m³;Gevalideerd;
11-01-2022;15:00:00;11-01-2022;16:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,000;kWh;Gevalideerd;Definitief
11-01-2022;15:00:00;11-01-2022;16:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,000;m³;Gevalideerd;
11-01-2022;16:00:00;11-01-2022;17:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,000;kWh;Gevalideerd;Definitief
11-01-2022;16:00:00;11-01-2022;17:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,000;m³;Gevalideerd;
11-01-2022;17:00:00;11-01-2022;18:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,011;kWh;Gevalideerd;Definitief
11-01-2022;17:00:00;11-01-2022;18:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,001;m³;Gevalideerd;
11-01-2022;18:00:00;11-01-2022;19:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;3,570;kWh;Gevalideerd;Definitief
11-01-2022;18:00:00;11-01-2022;19:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,313;m³;Gevalideerd;
11-01-2022;19:00:00;11-01-2022;20:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;4,859;kWh;Gevalideerd;Definitief
11-01-2022;19:00:00;11-01-2022;20:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,426;m³;Gevalideerd;
11-01-2022;20:00:00;11-01-2022;21:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;5,030;kWh;Gevalideerd;Definitief
11-01-2022;20:00:00;11-01-2022;21:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,441;m³;Gevalideerd;
11-01-2022;21:00:00;11-01-2022;22:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;5,281;kWh;Gevalideerd;Definitief
11-01-2022;21:00:00;11-01-2022;22:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,463;m³;Gevalideerd;
11-01-2022;22:00:00;11-01-2022;23:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;4,984;kWh;Gevalideerd;Definitief
11-01-2022;22:00:00;11-01-2022;23:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,437;m³;Gevalideerd;
11-01-2022;23:00:00;12-01-2022;00:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;2,407;kWh;Gevalideerd;Definitief
11-01-2022;23:00:00;12-01-2022;00:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,211;m³;Gevalideerd;
12-01-2022;00:00:00;12-01-2022;01:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,011;kWh;Gevalideerd;Definitief
12-01-2022;00:00:00;12-01-2022;01:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,001;m³;Gevalideerd;
12-01-2022;01:00:00;12-01-2022;02:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,000;kWh;Gevalideerd;Definitief
12-01-2022;01:00:00;12-01-2022;02:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,000;m³;Gevalideerd;
12-01-2022;02:00:00;12-01-2022;03:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,000;kWh;Gevalideerd;Definitief
12-01-2022;02:00:00;12-01-2022;03:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,000;m³;Gevalideerd;
12-01-2022;03:00:00;12-01-2022;04:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,011;kWh;Gevalideerd;Definitief
12-01-2022;03:00:00;12-01-2022;04:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,001;m³;Gevalideerd;
12-01-2022;04:00:00;12-01-2022;05:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,000;kWh;Gevalideerd;Definitief
12-01-2022;04:00:00;12-01-2022;05:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,000;m³;Gevalideerd;
12-01-2022;05:00:00;12-01-2022;06:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,000;kWh;Gevalideerd;Definitief
12-01-2022;05:00:00;12-01-2022;06:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,000;m³;Gevalideerd;
12-01-2022;06:00:00;12-01-2022;07:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;3,664;kWh;Geschat;Definitief
12-01-2022;06:00:00;12-01-2022;07:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,321;m³;Geschat;
12-01-2022;07:00:00;12-01-2022;08:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;2,801;kWh;Geschat;Definitief
12-01-2022;07:00:00;12-01-2022;08:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,246;m³;Geschat;
12-01-2022;08:00:00;12-01-2022;09:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;4,078;kWh;Geschat;Definitief
12-01-2022;08:00:00;12-01-2022;09:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,358;m³;Geschat;
12-01-2022;09:00:00;12-01-2022;10:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;3,911;kWh;Geschat;Definitief
12-01-2022;09:00:00;12-01-2022;10:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,343;m³;Geschat;
12-01-2022;10:00:00;12-01-2022;11:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;3,682;kWh;Geschat;Definitief
12-01-2022;10:00:00;12-01-2022;11:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,323;m³;Geschat;
12-01-2022;11:00:00;12-01-2022;12:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;3,673;kWh;Geschat;Definitief
12-01-2022;11:00:00;12-01-2022;12:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,322;m³;Geschat;
12-01-2022;12:00:00;12-01-2022;13:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;3,682;kWh;Geschat;Definitief
12-01-2022;12:00:00;12-01-2022;13:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,323;m³;Geschat;
12-01-2022;13:00:00;12-01-2022;14:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;3,655;kWh;Geschat;Definitief
12-01-2022;13:00:00;12-01-2022;14:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,321;m³;Geschat;
12-01-2022;14:00:00;12-01-2022;15:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;2,229;kWh;Geschat;Definitief
12-01-2022;14:00:00;12-01-2022;15:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,195;m³;Geschat;
12-01-2022;15:00:00;12-01-2022;16:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,000;kWh;Geschat;Definitief
12-01-2022;15:00:00;12-01-2022;16:00:00;="123456789123456789";7FLO12345678;Digitale Meter;Afname;0,000;m³;Geschat;
