OpnameDatum;StandNormaal;StandDal;TerugleveringNormaal;TerugleveringDal
2023-08-02;874;824;1608;722
2023-08-01;868;822;1588;722
2023-07-31;859;820;1584;722
2023-07-30;859;813;1584;697
2023-07-29;859;806;1584;668
2023-07-28;854;804;1572;668
2023-07-27;845;800;1568;668
2023-07-26;840;797;1527;668
2023-07-25;835;795;1490;668
2023-07-24;828;793;1478;668
2023-07-23;828;783;1478;646
2023-07-22;828;773;1478;637
2023-07-21;823;771;1448;637
2023-07-20;820;767;1418;637
2023-07-19;817;765;1399;637
2023-07-18;815;762;1372;637
2023-07-17;813;760;1336;637
2023-07-16;813;757;1336;606
2023-07-15;813;754;1336;572
2023-07-14;811;752;1316;572
2023-07-13;808;749;1282;572
2023-07-12;805;746;1239;572
2023-07-11;802;743;1206;572
2023-07-10;800;741;1161;572
2023-07-09;800;733;1161;557
2023-07-08;800;729;1161;524
2023-07-07;798;727;1113;524
2023-07-06;795;722;1068;524
2023-07-05;783;720;1049;524
2023-07-04;779;717;1017;524
2023-07-03;772;714;995;524
2023-07-02;772;704;995;493
2023-07-01;772;692;995;483
2023-06-30;767;689;966;483
2023-06-29;762;686;950;483
2023-06-28;758;683;943;483
2023-06-27;755;680;914;483
2023-06-26;753;678;869;483
2023-06-25;753;674;869;438
2023-06-24;753;667;869;399
2023-06-23;750;665;830;399
2023-06-22;746;661;822;399
2023-06-21;745;659;775;399
2023-06-20;741;657;758;399
2023-06-19;739;654;720;399
2023-06-18;739;650;720;389
2023-06-17;739;646;720;359
2023-06-16;738;644;672;359
2023-06-15;737;642;629;359
2023-06-14;737;641;578;359
2023-06-13;736;639;527;358
2023-06-12;736;638;480;358
2023-06-11;736;636;480;309
2023-06-10;736;635;480;260
2023-06-09;734;633;432;260
2023-06-08;733;632;382;260
2023-06-07;732;631;331;260
2023-06-06;730;630;278;260
2023-06-05;728;629;227;260
2023-06-04;728;626;227;208
2023-06-03;728;624;227;155
2023-06-02;725;623;191;155
2023-06-01;720;622;160;155
2023-05-31;717;621;106;155
2023-05-30;712;620;89;155
2023-05-29;712;616;89;105
2023-05-28;712;614;89;51
2023-05-27;712;611;89;0
2023-05-26;706;609;37;0
2023-05-25;701;609;0;0
2023-05-24;689;604;0;0
2023-05-23;679;603;0;0
2023-05-22;672;602;0;0
2023-05-21;672;594;0;0
2023-05-20;672;587;0;0
2023-05-19;662;574;0;0
2023-05-18;662;520;0;0
2023-05-17;626;505;0;0
2023-05-16;588;489;0;0
2023-05-15;545;472;0;0
2023-05-14;545;422;0;0
2023-05-13;545;374;0;0
2023-05-12;506;359;0;0
2023-05-11;474;353;0;0
2023-05-10;454;345;0;0
2023-05-09;444;341;0;0
2023-05-08;438;337;0;0
2023-05-07;438;332;0;0
2023-05-06;438;325;0;0
2023-05-05;433;321;0;0
2023-05-04;430;313;0;0
2023-05-03;422;309;0;0
2023-05-02;402;302;0;0
2023-05-01;382;297;0;0
2023-04-30;382;279;0;0
2023-04-29;382;260;0;0
2023-04-28;369;259;0;0
2023-04-27;369;245;0;0
2023-04-26;353;240;0;0
2023-04-25;338;235;0;0
2023-04-24;317;230;0;0
2023-04-23;317;210;0;0
2023-04-21;298;184;0;0
