time,Import T1 kWh,Import T2 kWh,Export T1 kWh,Export T2 kWh
2022-09-01 00:00,8350.274,4650.277,3095.077,7450.128
2022-09-01 00:15,8350.385,4650.468,3095.078,7450.301
2022-09-01 00:30,8350.705,4650.591,3095.197,7450.502
2022-09-01 00:45,8350.979,4650.838,3095.33,7450.507
2022-09-01 01:00,8351.247,4651.059,3095.456,7450.687
2022-09-01 01:15,8351.479,4651.196,3095.479,7450.995
2022-09-01 01:30,8351.661,4651.388,3095.523,7451.171
2022-09-01 01:45,8352.009,4651.493,3095.633,7451.372
2022-09-01 02:00,8352.228,4651.729,3095.647,7451.729
2022-09-01 02:15,8352.435,4651.914,3095.714,7452.1
2022-09-01 02:30,8352.784,4652.033,3095.898,7452.178
2022-09-01 02:45,8353.095,4652.179,3096.035,7452.478
2022-09-01 03:00,8353.249,4652.276,3096.18,7452.774
2022-09-01 03:15,8353.555,4652.574,3096.247,7452.962
2022-09-01 03:30,8353.728,4652.839,3096.266,7453.083
2022-09-01 03:45,8354.142,4653.126,3096.331,7453.272
2022-09-01 04:00,8354.584,4653.272,3096.498,7453.647
2022-09-01 04:15,8354.882,4653.497,3096.557,7453.912
2022-09-01 04:30,8355.32,4653.662,3096.672,7454.227
2022-09-01 04:45,8355.452,4653.82,3096.861,7454.601
2022-09-01 05:00,8355.754,4653.881,3097.004,7454.798
2022-09-01 05:15,8355.88,4654.004,3097.127,7455.181
2022-09-01 05:30,8356.152,4654.273,3097.285,7455.506
2022-09-01 05:45,8356.29,4654.33,3097.379,7455.895
2022-09-01 06:00,8356.441,4654.59,3097.553,7455.977
2022-09-01 06:15,8356.78,4654.761,3097.672,7456.007
2022-09-01 06:30,8356.97,4654.912,3097.836,7456.306
2022-09-01 06:45,8357.113,4655.202,3097.884,7456.69
2022-09-01 07:00,8357.301,4655.383,3097.903,7456.738
2022-09-01 07:15,8357.541,4655.452,3097.994,7456.794
2022-09-01 07:30,8357.828,4655.552,3098.036,7456.906
2022-09-01 07:45,8358.009,4655.788,3098.186,7457.021
2022-09-01 08:00,8358.365,4656.02,3098.223,7457.102
2022-09-01 08:15,8358.658,4656.203,3098.247,7457.265
2022-09-01 08:30,8358.96,4656.276,3098.321,7457.612
2022-09-01 08:45,8359.215,4656.384,3098.509,7457.744
2022-09-01 09:00,8359.633,4656.639,3098.518,7458.088
2022-09-01 09:15,8359.965,4656.721,3098.58,7458.285
2022-09-01 09:30,8360.13,4657.015,3098.733,7458.685
2022-09-01 09:45,8360.51,4657.268,3098.783,7458.76
2022-09-01 10:00,8360.996,4657.486,3098.962,7459.071
2022-09-01 10:15,8361.296,4657.786,3099.083,7459.301
2022-09-01 10:30,8361.751,4658.036,3099.134,7459.678
2022-09-01 10:45,8361.988,4658.156,3099.218,7459.891
2022-09-01 11:00,8362.315,4658.42,3099.227,7460.029
2022-09-01 11:15,8362.586,4658.65,3099.268,7460.162
2022-09-01 11:30,8362.861,4658.915,3099.456,7460.189
2022-09-01 11:45,8363.271,4659.048,3099.603,7460.348
2022-09-01 12:00,8363.586,4659.215,3099.667,7460.712
2022-09-01 12:15,8364.067,4659.452,3099.759,7461.106
