eancodeasn,meternummer,meterreadingdate,reading1,usage1,reading2,usage2,reading3,usage3,reading4,usage4                                                                                                                                                                                                                                                                                                                                                                                                 
871687120061402458,E0045003866355817,05-06-2023,15626.2,,17771.9,,0,,0,                                                                                                                                                                                                                                                                                 
871687120061402458,E0045003866355817,06-06-2023,15630.4,4.2,17779.4,7.5,0,0,0,0                                                                                                                                                                                                                                                                         
871687120061402458,E0045003866355817,07-06-2023,15632.7,2.3,17787.4,8,0,0,0,0                                                                                                                                                                                                                                                                           
871687120061402458,E0045003866355817,08-06-2023,15635.1,2.4,17795.3,7.9,0,0,0,0                                                                                                                                                                                                                                                                         
871687120061402458,E0045003866355817,09-06-2023,15637.5,2.4,17802.2,6.9,0,0,0,0                                                                                                                                                                                                                                                                         
871687120061402458,E0045003866355817,10-06-2023,15640,2.5,17810.5,8.3,0,0,0,0                                                                                                                                                                                                                                                                           
871687120061402458,E0045003866355817,11-06-2023,15656.1,16.1,17810.5,0,0,0,0,0                                                                                                                                                                                                                                                                          
871687120061402458,E0045003866355817,12-06-2023,15671,14.9,17810.5,0,0,0,0,0                                                                                                                                                                                                                                                                            
871687120061402458,E0045003866355817,13-06-2023,15677.3,6.3,17818.2,7.7,0,0,0,0                                                                                                                                                                                                                                                                         
871687120061402458,E0045003866355817,14-06-2023,15683.4,6.1,17826.8,8.6,0,0,0,0                                                                                                                                                                                                                                                                         
871687120061402458,E0045003866355817,15-06-2023,15689,5.6,17833.5,6.7,0,0,0,0                                                                                                                                                                                                                                                                           
871687120061402458,E0045003866355817,16-06-2023,15694.5,5.5,17840.6,7.1,0,0,0,0                                                                                                                                                                                                                                                                         
871687120061402458,E0045003866355817,17-06-2023,15699.8,5.3,17852.2,11.6,0,0,0,0                                                                                                                                                                                                                                                                        
871687120061402458,E0045003866355817,18-06-2023,15716.9,17.1,17852.2,0,0,0,0,0                                                                                                                                                                                                                                                                          
871687120061402458,E0045003866355817,19-06-2023,15731.5,14.6,17852.2,0,0,0,0,0                                                                                                                                                                                                                                                                          
871687120061402458,E0045003866355817,20-06-2023,15737.1,5.6,17861.4,9.2,0,0,0,0                                                                                                                                                                                                                                                                         
871687120061402458,E0045003866355817,21-06-2023,15743,5.9,17870.5,9.1,0,0,0,0                                                                                                                                                                                                                                                                           
871687120061402458,E0045003866355817,22-06-2023,15747.7,4.7,17880.7,10.2,0,0,0,0                                                                                                                                                                                                                                                                        
871687120061402458,E0045003866355817,23-06-2023,15752.4,4.7,17891.7,11,0,0,0,0                                                                                                                                                                                                                                                                          
871687120061402458,E0045003866355817,24-06-2023,15757.9,5.5,17905.1,13.4,0,0,0,0                                                                                                                                                                                                                                                                        
871687120061402458,E0045003866355817,25-06-2023,15771.2,13.3,17905.1,0,0,0,0,0                                                                                                                                                                                                                                                                          
871687120061402458,E0045003866355817,26-06-2023,15789.5,18.3,17905.1,0,0,0,0,0                                                                                                                                                                                                                                                                          
871687120061402458,E0045003866355817,27-06-2023,15795.7,6.2,17914.1,9,0,0,0,0                                                                                                                                                                                                                                                                           
871687120061402458,E0045003866355817,28-06-2023,15801.1,5.4,17922.7,8.6,0,0,0,0                                                                                                                                                                                                                                                                         
871687120061402458,E0045003866355817,29-06-2023,15806.3,5.2,17933.8,11.1,0,0,0,0                                                                                                                                                                                                                                                                        
871687120061402458,E0045003866355817,30-06-2023,15810.8,4.5,17945.3,11.5,0,0,0,0                                                                                                                                                                                                                                                                        
871687120061402458,E0045003866355817,01-07-2023,15816.1,5.3,17958,12.7,0,0,0,0                                                                                                                                                                                                                                                                          
871687120061402458,E0045003866355817,02-07-2023,15830.6,14.5,17958,0,0,0,0,0                                                                                                                                                                                                                                                                            
871687120061402458,E0045003866355817,03-07-2023,15845.1,14.5,17958,0,0,0,0,0                                                                                                                                                                                                                                                                            
871687120061402458,E0045003866355817,04-07-2023,15848.5,3.4,17967.1,9.1,0,0,0,0                                                                                                                                                                                                                                                                         
871687120061402458,E0045003866355817,05-07-2023,15853.1,4.6,17977.7,10.6,0,0,0,0                                                                                                                                                                                                                                                                        
