sep=,
Version CSV3|Tool WebUI|Linebreaks CR/LF|Delimiter comma

,STP6.0-3AV-40 033,STP6.0-3AV-40 033,STP6.0-3AV-40 033,STP6.0-3AV-40 033,STP6.0-3AV-40 033
,SUNNY TRIPOWER 6.0,SUNNY TRIPOWER 6.0,SUNNY TRIPOWER 6.0,SUNNY TRIPOWER 6.0,SUNNY TRIPOWER 6.0
,XXXXXXXXXX,XXXXXXXXXX,XXXXXXXXXX,XXXXXXXXXX,XXXXXXXXXX
,Metering.TotWhOut,Metering.GridMs.TotWhOut,Metering.GridMs.AbsWhOut,Metering.GridMs.TotWhIn,Metering.GridMs.AbsWhIn
,Analog,Analog,Analog,Analog,Analog
DD.MM.YYYY hh:mm:ss,[Wh],[Wh],[Wh],[Wh],[Wh]
23.03.2020 00:00:00,0,0,NaN,0,NaN
24.03.2020 00:00:00,NaN,0,NaN,0,NaN
25.03.2020 00:00:00,10805,0,NaN,0,NaN
26.03.2020 00:00:00,48058,0,NaN,0,NaN
27.03.2020 00:00:00,86493,0,NaN,0,NaN
28.03.2020 00:00:00,124692,0,NaN,0,NaN
29.03.2020 00:00:00,162041,0,NaN,0,NaN
30.03.2020 00:00:00,199774,0,NaN,0,NaN
31.03.2020 00:00:00,NaN,0,NaN,0,NaN
01.04.2020 00:00:00,268980,0,NaN,0,NaN
02.04.2020 00:00:00,304847,0,NaN,0,NaN
03.04.2020 00:00:00,344142,0,NaN,0,NaN
04.04.2020 00:00:00,364570,0,NaN,0,NaN
05.04.2020 00:00:00,403618,0,NaN,0,NaN
06.04.2020 00:00:00,429830,0,NaN,0,NaN
07.04.2020 00:00:00,443883,0,NaN,0,NaN
08.04.2020 00:00:00,467829,0,NaN,0,NaN
09.04.2020 00:00:00,505869,0,NaN,0,NaN
10.04.2020 00:00:00,544476,0,NaN,0,NaN
11.04.2020 00:00:00,573813,0,NaN,0,NaN
12.04.2020 00:00:00,610282,0,NaN,0,NaN
13.04.2020 00:00:00,644762,0,NaN,0,NaN
14.04.2020 00:00:00,678157,0,NaN,0,NaN
15.04.2020 00:00:00,715121,0,NaN,0,NaN
16.04.2020 00:00:00,752835,0,NaN,0,NaN
17.04.2020 00:00:00,783660,0,NaN,0,NaN
18.04.2020 00:00:00,811879,0,NaN,0,NaN
19.04.2020 00:00:00,828608,0,NaN,0,NaN
20.04.2020 00:00:00,863948,0,NaN,0,NaN
21.04.2020 00:00:00,896566,0,NaN,0,NaN
22.04.2020 00:00:00,933668,0,NaN,0,NaN
23.04.2020 00:00:00,945227,0,NaN,0,NaN
24.04.2020 00:00:00,985511,0,NaN,0,NaN
25.04.2020 00:00:00,1026356,0,NaN,0,NaN
26.04.2020 00:00:00,1066674,0,NaN,0,NaN
27.04.2020 00:00:00,1106781,0,NaN,0,NaN
28.04.2020 00:00:00,1144271,0,NaN,0,NaN
29.04.2020 00:00:00,1184290,0,NaN,0,NaN
30.04.2020 00:00:00,1215504,0,NaN,0,NaN
01.05.2020 00:00:00,1254992,0,NaN,0,NaN
02.05.2020 00:00:00,1291888,0,NaN,0,NaN
03.05.2020 00:00:00,1297021,0,NaN,0,NaN
