Date/time UTC,Active energy Wh (A),Returned energy Wh (A)
2025-01-11 00:00,30.70,0.00
2025-01-11 00:10,33.70,0.00
2025-01-11 00:20,33.00,0.00
2025-01-11 00:30,32.30,0.00
2025-01-11 00:40,31.70,0.00
2025-01-11 00:50,32.10,0.00
2025-01-11 01:00,21.00,0.00
2025-01-11 01:10,7.20,0.00
2025-01-11 01:20,6.60,0.00
2025-01-11 01:30,7.10,0.00
2025-01-11 01:40,6.90,0.00
2025-01-11 01:50,8.20,0.00
2025-01-11 02:00,7.30,0.00
2025-01-11 02:10,8.00,0.00
2025-01-11 02:20,8.10,0.00
2025-01-11 02:30,7.90,0.00
2025-01-11 02:40,7.50,0.00
2025-01-11 02:50,8.10,0.00
2025-01-11 03:00,7.90,0.00
2025-01-11 03:10,7.70,0.00
2025-01-11 03:20,7.30,0.00
2025-01-11 03:30,7.30,0.00
2025-01-11 03:40,7.00,0.00
2025-01-11 03:50,8.60,0.00
2025-01-11 04:00,8.00,0.00
2025-01-11 04:10,8.00,0.00
2025-01-11 04:20,7.60,0.00
2025-01-11 04:30,7.20,0.00
2025-01-11 04:40,7.20,0.00
2025-01-11 04:50,6.70,0.00
2025-01-11 05:00,7.50,0.00
2025-01-11 05:10,7.30,0.00
2025-01-11 05:20,7.10,0.00
2025-01-11 05:30,6.60,0.00
2025-01-11 05:40,7.20,0.00
2025-01-11 05:50,7.20,0.00
2025-01-11 06:00,6.60,0.00
2025-01-11 06:10,7.20,0.00
2025-01-11 06:20,6.90,0.00
2025-01-11 06:30,6.80,0.00
2025-01-11 06:40,7.00,0.00
2025-01-11 06:50,6.70,0.00
2025-01-11 07:00,6.60,0.00
2025-01-11 07:10,7.60,0.00
2025-01-11 07:20,6.40,0.00
2025-01-11 07:30,7.20,0.00
2025-01-11 07:40,7.30,0.00
2025-01-11 07:50,7.20,0.00
2025-01-11 08:00,6.80,0.00
2025-01-11 08:10,7.40,0.00
2025-01-11 08:20,7.00,0.00
2025-01-11 08:30,7.50,0.00
2025-01-11 08:40,8.50,0.00
2025-01-11 08:50,7.60,0.00
2025-01-11 09:00,8.00,0.00
2025-01-11 09:10,7.50,0.00
2025-01-11 09:20,8.00,0.00
2025-01-11 09:30,7.50,0.00
2025-01-11 09:40,7.90,0.00
2025-01-11 09:50,7.50,0.00
2025-01-11 10:00,7.50,0.00
2025-01-11 10:10,7.90,0.00
2025-01-11 10:20,7.60,0.00
2025-01-11 10:30,49.60,0.00
2025-01-11 10:40,192.90,0.00
2025-01-11 10:50,88.60,0.00
2025-01-11 11:00,9.60,0.00
2025-01-11 11:10,9.40,0.00
2025-01-11 11:20,9.50,0.00
2025-01-11 11:30,9.30,0.00
2025-01-11 11:40,9.50,0.00
2025-01-11 11:50,7.80,0.00
2025-01-11 12:00,60.90,0.00
2025-01-11 12:10,168.50,0.00
2025-01-11 12:20,75.20,0.00
2025-01-11 12:30,109.50,0.00
2025-01-11 12:40,122.20,0.00
2025-01-11 12:50,6.80,0.00
2025-01-11 13:00,6.90,0.00
2025-01-11 13:10,6.70,0.00
2025-01-11 13:20,6.80,0.00
2025-01-11 13:30,6.50,0.00
2025-01-11 13:40,6.50,0.00
2025-01-11 13:50,6.20,0.00
2025-01-11 14:00,6.40,0.00
2025-01-11 14:10,6.40,0.00
2025-01-11 14:20,6.50,0.00
2025-01-11 14:30,6.40,0.00
2025-01-11 14:40,6.70,0.00
2025-01-11 14:50,6.80,0.00
2025-01-11 15:00,6.90,0.00
2025-01-11 15:10,6.80,0.00
2025-01-11 15:20,6.60,0.00
2025-01-11 15:30,6.50,0.00
2025-01-11 15:40,6.60,0.00
2025-01-11 15:50,6.90,0.00
2025-01-11 16:00,6.90,0.00
2025-01-11 16:10,74.30,0.00
2025-01-11 16:20,379.40,0.00
2025-01-11 16:30,312.40,0.00
2025-01-11 16:40,274.40,0.00
2025-01-11 16:50,316.70,0.00
2025-01-11 17:00,311.90,0.00
2025-01-11 17:10,278.80,0.00
2025-01-11 17:20,246.40,0.00
