Date/time UTC,Active energy Wh (B),Returned energy Wh (B)
2024-12-26 00:00,12.20,0.00
2024-12-26 00:10,12.30,0.00
2024-12-26 00:20,4.70,0.00
2024-12-26 00:30,3.90,0.00
2024-12-26 00:40,3.90,0.00
2024-12-26 00:50,9.10,0.00
2024-12-26 01:00,12.80,0.00
2024-12-26 01:10,9.50,0.00
2024-12-26 01:20,4.00,0.00
2024-12-26 01:30,4.00,0.00
2024-12-26 01:40,4.00,0.00
2024-12-26 01:50,13.70,0.00
2024-12-26 02:00,12.40,0.00
2024-12-26 02:10,6.20,0.00
2024-12-26 02:20,4.00,0.00
2024-12-26 02:30,4.00,0.00
2024-12-26 02:40,7.50,0.00
2024-12-26 02:50,13.60,0.00
2024-12-26 03:00,12.40,0.00
2024-12-26 03:10,9.80,0.00
2024-12-26 03:20,4.00,0.00
2024-12-26 03:30,3.90,0.00
2024-12-26 03:40,4.00,0.00
2024-12-26 03:50,4.10,0.00
2024-12-26 04:00,3.80,0.00
2024-12-26 04:10,10.20,0.00
2024-12-26 04:20,12.40,0.00
2024-12-26 04:30,14.70,0.00
2024-12-26 04:40,11.20,0.00
2024-12-26 04:50,6.80,0.00
2024-12-26 05:00,6.70,0.00
2024-12-26 05:10,7.50,0.00
2024-12-26 05:20,13.50,0.00
2024-12-26 05:30,12.40,0.00
2024-12-26 05:40,5.50,0.00
2024-12-26 05:50,4.10,0.00
2024-12-26 06:00,4.20,0.00
2024-12-26 06:10,9.40,0.00
2024-12-26 06:20,12.70,0.00
2024-12-26 06:30,11.30,0.00
2024-12-26 06:40,4.00,0.00
2024-12-26 06:50,3.90,0.00
2024-12-26 07:00,4.30,0.00
2024-12-26 07:10,10.90,0.00
2024-12-26 07:20,12.70,0.00
2024-12-26 07:30,9.70,0.00
2024-12-26 07:40,4.00,0.00
2024-12-26 07:50,4.00,0.00
2024-12-26 08:00,4.20,0.00
2024-12-26 08:10,25.70,0.00
2024-12-26 08:20,156.60,0.00
2024-12-26 08:30,55.40,0.00
2024-12-26 08:40,45.30,0.00
2024-12-26 08:50,4.80,0.00
2024-12-26 09:00,4.80,0.00
2024-12-26 09:10,12.50,0.00
2024-12-26 09:20,13.20,0.00
2024-12-26 09:30,11.40,0.00
2024-12-26 09:40,7.70,0.00
2024-12-26 09:50,11.90,0.00
2024-12-26 10:00,161.40,0.00
2024-12-26 10:10,13.60,0.00
2024-12-26 10:20,12.90,0.00
2024-12-26 10:30,4.50,0.00
2024-12-26 10:40,4.00,0.00
2024-12-26 10:50,4.30,0.00
2024-12-26 11:00,13.30,0.00
2024-12-26 11:10,94.30,0.00
2024-12-26 11:20,30.10,0.00
2024-12-26 11:30,6.30,0.00
2024-12-26 11:40,4.40,0.00
2024-12-26 11:50,18.10,0.00
2024-12-26 12:00,13.70,0.00
2024-12-26 12:10,13.30,0.00
2024-12-26 12:20,38.40,0.00
2024-12-26 12:30,347.40,0.00
2024-12-26 12:40,123.40,0.00
2024-12-26 12:50,285.90,0.00
2024-12-26 13:00,204.20,0.00
2024-12-26 13:10,14.80,0.00
2024-12-26 13:20,8.00,0.00
2024-12-26 13:30,5.50,0.00
2024-12-26 13:40,5.40,0.00
2024-12-26 13:50,12.80,0.00
2024-12-26 14:00,14.00,0.00
2024-12-26 14:10,12.20,0.00
2024-12-26 14:20,32.80,0.00
2024-12-26 14:30,29.20,0.00
2024-12-26 14:40,9.90,0.00
2024-12-26 14:50,12.90,0.00
2024-12-26 15:00,10.40,0.00
2024-12-26 15:10,3.90,0.00
2024-12-26 15:20,130.30,0.00
2024-12-26 15:30,4.80,0.00
2024-12-26 15:40,17.10,0.00
2024-12-26 15:50,17.10,0.00
2024-12-26 16:00,16.70,0.00
2024-12-26 16:10,9.70,0.00
2024-12-26 16:20,8.50,0.00
2024-12-26 16:30,77.80,0.00
2024-12-26 16:40,222.30,0.00
2024-12-26 16:50,107.00,0.00
2024-12-26 17:00,77.40,0.00
2024-12-26 17:10,24.70,0.00
2024-12-26 17:20,14.60,0.00
2024-12-26 17:30,24.10,0.00
2024-12-26 17:40,31.50,0.00
2024-12-26 17:50,32.20,0.00
2024-12-26 18:00,16.20,0.00
2024-12-26 18:10,67.30,0.00
2024-12-26 18:20,26.50,0.00
2024-12-26 18:30,30.00,0.00
2024-12-26 18:40,32.70,0.00
2024-12-26 18:50,32.80,0.00
2024-12-26 19:00,141.50,0.00
2024-12-26 19:10,14.30,0.00
2024-12-26 19:20,11.90,0.00
2024-12-26 19:30,26.50,0.00
2024-12-26 19:40,31.00,0.00
2024-12-26 19:50,31.70,0.00
2024-12-26 20:00,35.10,0.00
2024-12-26 20:10,7.70,0.00
2024-12-26 20:20,3.90,0.00
2024-12-26 20:30,3.90,0.00
2024-12-26 20:40,3.90,0.00
2024-12-26 20:50,3.60,0.00
2024-12-26 21:00,3.60,0.00
2024-12-26 21:10,6.30,0.00
2024-12-26 21:20,12.60,0.00
2024-12-26 21:30,12.10,0.00
2024-12-26 21:40,12.40,0.00
2024-12-26 21:50,11.00,0.00
2024-12-26 22:00,6.80,0.00
2024-12-26 22:10,6.70,0.00
2024-12-26 22:20,11.60,0.00
2024-12-26 22:30,15.50,0.00
2024-12-26 22:40,15.20,0.00
2024-12-26 22:50,7.80,0.00
2024-12-26 23:00,16.50,0.00
2024-12-26 23:10,15.10,0.00
2024-12-26 23:20,30.60,0.00
2024-12-26 23:30,12.40,0.00
2024-12-26 23:40,9.60,0.00
2024-12-26 23:50,3.80,0.00
2024-12-27 00:00,3.50,0.00
2024-12-27 00:10,6.80,0.00
2024-12-27 00:20,12.70,0.00
2024-12-27 00:30,12.30,0.00
2024-12-27 00:40,6.90,0.00
2024-12-27 00:50,3.90,0.00
2024-12-27 01:00,3.80,0.00
2024-12-27 01:10,8.30,0.00
2024-12-27 01:20,12.50,0.00
2024-12-27 01:30,12.10,0.00
2024-12-27 01:40,5.60,0.00
2024-12-27 01:50,3.80,0.00
2024-12-27 02:00,3.80,0.00
2024-12-27 02:10,8.60,0.00
2024-12-27 02:20,12.60,0.00
2024-12-27 02:30,12.30,0.00
2024-12-27 02:40,5.10,0.00
2024-12-27 02:50,4.60,0.00
2024-12-27 03:00,3.80,0.00
2024-12-27 03:10,8.80,0.00
2024-12-27 03:20,12.50,0.00
2024-12-27 03:30,12.20,0.00
2024-12-27 03:40,4.80,0.00
2024-12-27 03:50,4.10,0.00
2024-12-27 04:00,3.50,0.00
2024-12-27 04:10,8.60,0.00
2024-12-27 04:20,12.40,0.00
2024-12-27 04:30,15.10,0.00
2024-12-27 04:40,7.60,0.00
2024-12-27 04:50,7.00,0.00
2024-12-27 05:00,6.70,0.00
2024-12-27 05:10,9.30,0.00
2024-12-27 05:20,12.60,0.00
2024-12-27 05:30,12.30,0.00
2024-12-27 05:40,4.80,0.00
2024-12-27 05:50,4.00,0.00
2024-12-27 06:00,3.80,0.00
2024-12-27 06:10,8.00,0.00
2024-12-27 06:20,12.60,0.00
2024-12-27 06:30,12.30,0.00
2024-12-27 06:40,5.10,0.00
2024-12-27 06:50,4.10,0.00
2024-12-27 07:00,3.90,0.00
2024-12-27 07:10,7.90,0.00
2024-12-27 07:20,12.60,0.00
2024-12-27 07:30,12.30,0.00
2024-12-27 07:40,17.70,0.00
2024-12-27 07:50,6.10,0.00
2024-12-27 08:00,13.40,0.00
2024-12-27 08:10,15.20,0.00
2024-12-27 08:20,13.00,0.00
