Date/time UTC,Active energy Wh (C),Returned energy Wh (C)
2025-04-11 00:00,15.60,0.00
2025-04-11 00:10,20.50,0.00
2025-04-11 00:20,40.10,0.00
2025-04-11 00:30,38.30,0.00
2025-04-11 00:40,37.10,0.00
2025-04-11 00:50,26.30,0.00
2025-04-11 01:00,17.00,0.00
2025-04-11 01:10,16.50,0.00
2025-04-11 01:20,16.90,0.00
2025-04-11 01:30,16.50,0.00
2025-04-11 01:40,16.80,0.00
2025-04-11 01:50,39.90,0.00
2025-04-11 02:00,38.70,0.00
2025-04-11 02:10,39.40,0.00
2025-04-11 02:20,35.10,0.00
2025-04-11 02:30,23.50,0.00
2025-04-11 02:40,28.30,0.00
2025-04-11 02:50,29.90,0.00
2025-04-11 03:00,23.90,0.00
2025-04-11 03:10,23.40,0.00
2025-04-11 03:20,43.90,0.00
2025-04-11 03:30,45.80,0.00
2025-04-11 03:40,44.60,0.00
2025-04-11 03:50,43.00,0.00
2025-04-11 04:00,23.60,0.00
2025-04-11 04:10,23.50,0.00
2025-04-11 04:20,49.30,0.00
2025-04-11 04:30,30.10,0.00
2025-04-11 04:40,44.80,0.00
2025-04-11 04:50,31.10,0.00
2025-04-11 05:00,58.20,0.00
2025-04-11 05:10,48.20,0.00
2025-04-11 05:20,44.20,0.00
2025-04-11 05:30,28.40,0.00
2025-04-11 05:40,23.70,0.00
2025-04-11 05:50,24.30,0.00
2025-04-11 06:00,23.70,0.00
2025-04-11 06:10,23.70,0.00
2025-04-11 06:20,23.70,0.00
2025-04-11 06:30,46.00,0.00
2025-04-11 06:40,45.70,0.00
2025-04-11 06:50,44.60,0.00
2025-04-11 07:00,33.70,0.00
2025-04-11 07:10,23.70,0.00
2025-04-11 07:20,23.50,0.00
2025-04-11 07:30,23.80,0.00
2025-04-11 07:40,23.40,0.00
2025-04-11 07:50,23.80,0.00
2025-04-11 08:00,39.10,0.00
2025-04-11 08:10,46.70,0.00
2025-04-11 08:20,44.80,0.00
2025-04-11 08:30,41.50,0.00
2025-04-11 08:40,24.80,0.00
2025-04-11 08:50,23.70,0.00
2025-04-11 09:00,20.20,0.00
2025-04-11 09:10,16.60,0.00
2025-04-11 09:20,17.00,0.00
2025-04-11 09:30,26.60,0.00
2025-04-11 09:40,40.30,0.00
2025-04-11 09:50,38.70,0.00
2025-04-11 10:00,36.70,0.00
2025-04-11 10:10,22.00,0.00
2025-04-11 10:20,16.60,0.00
2025-04-11 10:30,16.80,0.00
2025-04-11 10:40,16.80,0.00
2025-04-11 10:50,16.70,0.00
2025-04-11 11:00,16.60,0.00
2025-04-11 11:10,37.30,0.00
2025-04-11 11:20,38.80,0.00
2025-04-11 11:30,37.30,0.00
2025-04-11 11:40,32.50,0.00
2025-04-11 11:50,16.60,0.00
2025-04-11 12:00,16.70,0.00
2025-04-11 12:10,19.60,0.00
2025-04-11 12:20,19.50,0.00
2025-04-11 12:30,21.50,0.00
2025-04-11 12:40,28.50,0.00
2025-04-11 12:50,40.30,0.00
2025-04-11 13:00,38.30,0.00
2025-04-11 13:10,37.00,0.00
2025-04-11 13:20,23.80,0.00
2025-04-11 13:30,16.60,0.00
2025-04-11 13:40,16.60,0.00
2025-04-11 13:50,16.70,0.00
2025-04-11 14:00,16.70,0.00
2025-04-11 14:10,16.70,0.00
2025-04-11 14:20,37.70,0.00
2025-04-11 14:30,38.80,0.00
2025-04-11 14:40,37.20,0.00
