========================================
 Usage Information
 For: redacted_account_id
 ========================================
 Meter Reading Information
 Type of readings: Electricity, Energy Consumption, Real energy in kilowatt-hours 
 ========================================
 Detailed Usage
 ========================================
 Start date: 2025-10-19 00:00 for 2 days
 ========================================
 Interval Blockdata for period starting:, 2025-10-19 00:00  for 2 days
 ========================================
 Energy consumption time period,Usage(Real energy in kilowatt-hours),Events occurred
 2025-10-19 00:00 to 2025-10-19 01:00,0.000,,
 2025-10-19 01:00 to 2025-10-19 02:00,0.000,,
 2025-10-19 02:00 to 2025-10-19 03:00,-0.010,,
 2025-10-19 03:00 to 2025-10-19 04:00,-0.040,,
 2025-10-19 04:00 to 2025-10-19 05:00,-0.040,,
 2025-10-19 05:00 to 2025-10-19 06:00,-0.020,,
 2025-10-19 06:00 to 2025-10-19 07:00,0.000,,
 2025-10-19 07:00 to 2025-10-19 08:00,-0.050,,
 2025-10-19 08:00 to 2025-10-19 09:00,-0.420,,
 2025-10-19 09:00 to 2025-10-19 10:00,-0.980,,
 2025-10-19 10:00 to 2025-10-19 11:00,-1.380,,
 2025-10-19 11:00 to 2025-10-19 12:00,-1.670,,
 2025-10-19 12:00 to 2025-10-19 13:00,-1.510,,
 2025-10-19 13:00 to 2025-10-19 14:00,-1.890,,
 2025-10-19 14:00 to 2025-10-19 15:00,-1.630,,
 2025-10-19 15:00 to 2025-10-19 16:00,-1.080,,
 2025-10-19 16:00 to 2025-10-19 17:00,-0.330,,
 2025-10-19 17:00 to 2025-10-19 18:00,-0.010,,
 2025-10-19 18:00 to 2025-10-19 19:00,0.000,,
 2025-10-19 19:00 to 2025-10-19 20:00,0.000,,
 2025-10-19 20:00 to 2025-10-19 21:00,0.000,,
 2025-10-19 21:00 to 2025-10-19 22:00,0.000,,
 2025-10-19 22:00 to 2025-10-19 23:00,0.000,,
 2025-10-19 23:00 to 2025-10-20 00:00,0.000,,
 2025-10-20 00:00 to 2025-10-20 01:00,0.000,,
 2025-10-20 01:00 to 2025-10-20 02:00,0.000,,
 2025-10-20 02:00 to 2025-10-20 03:00,0.000,,
 2025-10-20 03:00 to 2025-10-20 04:00,0.000,,
 2025-10-20 04:00 to 2025-10-20 05:00,0.000,,
 2025-10-20 05:00 to 2025-10-20 06:00,0.000,,
 2025-10-20 06:00 to 2025-10-20 07:00,0.000,,
 2025-10-20 07:00 to 2025-10-20 08:00,0.000,,
 2025-10-20 08:00 to 2025-10-20 09:00,-0.980,,
 2025-10-20 09:00 to 2025-10-20 10:00,-3.370,,
 2025-10-20 10:00 to 2025-10-20 11:00,-4.750,,
 2025-10-20 11:00 to 2025-10-20 12:00,-4.600,,
 2025-10-20 12:00 to 2025-10-20 13:00,-5.570,,
 2025-10-20 13:00 to 2025-10-20 14:00,-5.460,,
 2025-10-20 14:00 to 2025-10-20 15:00,-3.810,,
