Bill Date,Electric Charges,Electric Charges,Electric Usage (kWh),Total Charges
"09/24/2025","89.45","89.45","450","89.45"
"08/26/2025","102.34","102.34","520","102.34"
"07/25/2025","115.67","115.67","680","115.67"
"06/26/2025","98.23","98.23","520","98.23"
"05/27/2025","67.89","67.89","340","67.89"
"04/25/2025","54.32","54.32","280","54.32"
"03/28/2025","61.45","61.45","310","61.45"
"02/27/2025","58.90","58.90","295","58.90"
"01/28/2025","72.34","72.34","365","72.34"
"12/26/2024","85.67","85.67","430","85.67"
"11/21/2024","78.90","78.90","395","78.90"
"10/23/2024","71.23","71.23","360","71.23"
"09/25/2024","91.45","91.45","460","91.45"
"08/26/2024","105.67","105.67","535","105.67"
"07/25/2024","118.90","118.90","600","118.90"
"06/25/2024","95.34","95.34","480","95.34"
"05/29/2024","65.78","65.78","330","65.78"
"04/26/2024","52.90","52.90","265","52.90"
"03/28/2024","59.45","59.45","300","59.45"
"02/27/2024","56.78","56.78","285","56.78"
"01/29/2024","70.23","70.23","355","70.23"
"12/26/2023","83.45","83.45","420","83.45"
"11/27/2023","76.89","76.89","385","76.89"
"10/24/2023","69.34","69.34","350","69.34"
"09/25/2023","89.67","89.67","450","89.67"
"08/25/2023","103.45","103.45","525","103.45"
"07/26/2023","116.78","116.78","590","116.78"
"06/26/2023","93.45","93.45","470","93.45"
"05/25/2023","64.67","64.67","325","64.67"
"04/26/2023","51.89","51.89","260","51.89"
"03/28/2023","58.34","58.34","295","58.34"
"02/27/2023","55.67","55.67","280","55.67"
"01/26/2023","68.90","68.90","345","68.90"
"12/23/2022","81.23","81.23","410","81.23"
"11/21/2022","75.45","75.45","380","75.45"
"10/21/2022","67.89","67.89","340","67.89"
"09/22/2022","87.34","87.34","440","87.34"
"08/24/2022","101.23","101.23","510","101.23"
"07/25/2022","114.56","114.56","580","114.56"
"06/24/2022","91.67","91.67","460","91.67"
"05/25/2022","63.45","63.45","320","63.45"
"04/25/2022","50.78","50.78","255","50.78"
"03/28/2022","57.23","57.23","290","57.23"
"02/25/2022","54.56","54.56","275","54.56"
"01/25/2022","67.89","67.89","340","67.89"
"12/22/2021","79.34","79.34","400","79.34"
"11/19/2021","73.67","73.67","370","73.67"
"10/21/2021","66.23","66.23","335","66.23"






