Bill Date,Gas Charges,Gas Charges,Gas Usage (Therms),Total Charges
"09/24/2025","23.32","23.32","12","23.32"
"08/26/2025","24.17","24.17","13","24.17"
"07/25/2025","18.21","18.21","6","18.21"
"06/26/2025","20.94","20.94","10","20.94"
"05/27/2025","33.21","33.21","23","33.21"
"04/25/2025","51.98","51.98","45","51.98"
"03/28/2025","55.36","55.36","53","55.36"
"02/27/2025","117.29","117.29","124","117.29"
"01/28/2025","148.11","148.11","156","148.11"
"12/26/2024","105.03","105.03","109","105.03"
"11/21/2024","71.83","71.83","73","71.83"
"10/23/2024","22.53","22.53","13","22.53"
"09/25/2024","23.45","23.45","14","23.45"
"08/26/2024","21.89","21.89","12","21.89"
"07/25/2024","18.72","18.72","9","18.72"
"06/25/2024","20.25","20.25","11","20.25"
"05/29/2024","30.29","30.29","23","30.29"
"04/26/2024","44.61","44.61","42","44.61"
"03/28/2024","72.93","72.93","74","72.93"
"02/27/2024","83.69","83.69","87","83.69"
"01/29/2024","136.71","136.71","150","136.71"
"12/26/2023","95.12","95.12","95","95.12"
"11/27/2023","90.75","90.75","90","90.75"
"10/24/2023","28.82","28.82","20","28.82"
"09/25/2023","21.02","21.02","12","21.02"
"08/25/2023","20.28","20.28","11","20.28"
"07/26/2023","18.22","18.22","9","18.22"
"06/26/2023","22.19","22.19","12","22.19"
"05/25/2023","34.15","34.15","27","34.15"
"04/26/2023","58.49","58.49","56","58.49"
"03/28/2023","100.86","100.86","101","100.86"
"02/27/2023","173.96","173.96","155","173.96"
"01/26/2023","200.44","200.44","159","200.44"
"12/23/2022","179.33","179.33","137","179.33"
"11/21/2022","161.16","161.16","105","161.16"
"10/21/2022","55.07","55.07","28","55.07"
"09/22/2022","35.01","35.01","14","35.01"
"08/24/2022","31.41","31.41","13","31.41"
"07/25/2022","23.01","23.01","10","23.01"
"06/24/2022","27.30","27.30","15","27.30"
"05/25/2022","36.74","36.74","25","36.74"
"04/25/2022","51.55","51.55","44","51.55"
"03/28/2022","83.75","83.75","89","83.75"
"02/25/2022","96.18","96.18","111","96.18"
"01/25/2022","135.16","135.16","163","135.16"
"12/22/2021","97.46","97.46","105","97.46"
"11/19/2021","67.29","67.29","65","67.29"
"10/21/2021","35.25","35.25","25","35.25"
