Time,PV(kWh),Purchased Energy(kWh),Feed-in(kWh),Load(kWh)
2024-09-01,56.2,7,44.7,18.5
2024-09-02,56.7,6.2,47.7,15.2
2024-09-03,57.5,7.3,48.3,16.5
2024-09-04,57.1,6.7,44.6,19.2
2024-09-05,50.3,5.9,41.2,15
2024-09-06,57.3,6.7,44.2,19.8
2024-09-07,45.4,5.7,32.6,18.5
2024-09-08,16.7,8.7,7.1,18.3
2024-09-09,54.2,5.4,42.9,16.7
2024-09-10,46.6,7.8,29.9,24.5
2024-09-11,52.7,5.5,39.7,18.5
2024-09-12,24,7.6,12.1,19.5
2024-09-13,59.2,6,46.7,18.5
2024-09-14,57.6,5.4,47,16
2024-09-15,49.2,6.3,36.3,19.2
2024-09-16,62.4,5.3,46.5,21.2
2024-09-17,61.3,5.7,50.6,16.4
2024-09-18,64.3,6.1,51.2,19.2
2024-09-19,62.7,5.3,51.5,16.5
2024-09-20,63.5,4.7,49.3,18.9
2024-09-21,64.1,5.4,51.4,18.1
2024-09-22,59.9,5.7,41.2,24.4
2024-09-23,62,5.7,46.9,20.8
2024-09-24,43.6,6.1,31,18.7
2024-09-25,28.7,7,17.1,18.6
2024-09-26,5.4,9.4,1.9,12.9
2024-09-27,41.5,5.8,28.7,18.6
2024-09-28,51.2,5,35.8,20.4
2024-09-29,24.6,10.4,14.2,20.8
2024-09-30,34.4,5.6,22.8,17.2
